column,Row Order,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,BRAEDALE GOLDWYN,HILL VALLEY BASAR ACME,LONG-LANGS OMAN OMAN,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,ROUMARE,JOCKO BESN,ROSE-BAUM TABOO,DE-SU OBSERVER,BASAR,SHOREMAR JAMES,ADLEJAMA DELSANTO PICOLA,PICSTON SHOTTLE,MOUNTFIELD SSI DCY MOGUL,MANNA FARM DEL SANTO,PIROLO GOLDW_ WYMAN,MAUGHLIN STORM,Q250 BESNE BUCK,GIBBON,RALMA GOLD CROWN,SEAGULL-BAY SUPERSIRE,DE-SU 521 BOOKEM,SANDY-VALLEY BOLTON,A MARK CJ GILBROOK GRAND ET,COYNE-FARMS DORCY,GENERVATIONS LIQUID GOLD,DIXIE-LEE AARON -ET,BADGER-BLUFF FANNY FREDDIE,DE-SU BKM MCCUTCHEN,GLENN-ANN PALERMO,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,UFM-DUBS ALTAESQUIRE,ROYLANE SOCRA ROBUST,SHOREMAR PERFECT STAR (ET),OSDEL-ENDEAVOR BOVA CUBBY,OUT-JOCK CHOICE AMEL,BELT,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,MADAWASKA AEROSTAR,PASEN MARSH,MAPEL WOOD BOULDER,VELVET-VIEW-KJ SOCRATES,FATAL,STARTMORE RUDOLPH,A RONNYBROOK PRELUDE ET,RAMOS
ABS MARION-ET - 29HO18009,36,0.824527539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177430121,0,0,0,0,0,0,0,0,0.052837604,0,0.04435753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011089341,0,0,0,0,0,0
LEANINGHOUSE BURCH-ET - 29HO18104,37,0.824527539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177430121,0,0,0,0,0,0,0,0,0.052837604,0,0.04435753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011089341,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,38,0.827136806,0,0,0,0,0.204171219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027395879,0,0,0.015655599,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,39,0,0.430528969,0,0,0,0,0,0,0,0.107631532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073059461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027395879,0,0.024134504,0,0,0,0,0,0,0.012393891,0,0.004566091
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,40,0,0.420744178,0,0,0,0,0,0,0,0,0,0,0,0,0.076973111,0,0,0,0,0,0,0,0,0.033920464,0,0,0,0,0,0,0.05218533,0,0,0,0,0.013046332,0,0,0,0,0,0,0,0,0,0.003261541,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,41,0,0.420744178,0,0,0,0,0,0,0,0,0,0,0,0,0.076973111,0,0,0,0,0,0,0,0,0.033920464,0,0,0,0,0,0,0.05218533,0,0,0,0,0.013046332,0,0,0,0,0,0,0,0,0,0.003261541,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,42,0,0.420744178,0,0,0,0,0,0,0,0,0,0,0,0,0.076973111,0,0,0,0,0,0,0,0,0.033920464,0,0,0,0,0,0,0.05218533,0,0,0,0,0.013046332,0,0,0,0,0,0,0,0,0,0.003261541,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,43,0,0.422701169,0,0,0,0,0,0,0,0.105674541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041748264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013698607,0,0,0,0,0,0,0,0.002609099
BRENTANO - GGIBRENTANO,44,0,0.422701169,0,0,0,0,0,0,0,0.105674541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041748264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002609099
GIN JINGO - 29HO17285,45,0,0.422701169,0,0,0,0,0,0,0,0.105674541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041748264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002609099
TEEMAR ASTON-ET - 29HO18076,46,0,0.420744178,0,0,0,0,0,0,0,0,0,0,0,0,0.076973111,0,0,0,0,0,0,0,0.05218533,0,0,0,0,0,0,0,0,0,0,0,0,0.013046332,0,0,0,0,0,0,0,0,0,0.003261541,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,47,0,0.420744178,0,0,0,0,0,0,0,0,0,0,0,0,0.076973111,0,0,0,0,0,0,0,0.05218533,0,0,0,0,0,0,0,0,0,0,0,0,0.013046332,0,0,0,0,0,0,0,0,0,0.003261541,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,48,0,0.420744178,0,0,0,0,0,0,0,0,0,0,0,0,0.076973111,0,0,0,0,0,0,0,0.05218533,0,0,0,0,0,0,0,0,0,0,0,0,0.013046332,0,0,0,0,0,0,0,0,0,0.003261541,0,0,0,0
ABS MANSFIELD-ET - 29HO18006,49,0,0.420744178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05218533,0,0,0,0,0,0,0,0,0,0,0,0,0.013046332,0,0,0,0,0,0.013698607,0,0,0,0.003261541,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076973111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013698607,0,0,0,0,0,0,0,0
