column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,ENSENADA TABOO PLANET ET,HILL VALLEY BASAR ACME,BASAR,ROSE-BAUM TABOO,BRAEDALE GOLDWYN,CARENDA FABULON-ET,SHOREMAR JAMES,MAUGHLIN STORM,GIBBON,JOCKO BESN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,PICSTON SHOTTLE,LONG-LANGS OMAN OMAN,ROUMARE,SHOREMAR PERFECT STAR (ET),EMPRISE BELL ELTON,DIXIE-LEE AARON -ET,OUT-JOCK CHOICE AMEL,OSDEL-ENDEAVOR BOVA CUBBY,BELT,END-ROAD BLACKSTAR MAJIC-ET,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,DE-SU OBSERVER,MANNA FARM DEL SANTO,SANDY-VALLEY BOLTON,ADLEJAMA DELSANTO PICOLA,DE-SU 521 BOOKEM,END-ROAD PVF BOLIVER,FATAL,A RONNYBROOK PRELUDE ET,COYNE-FARMS DORCY,MOUNTFIELD SSI DCY MOGUL,PASEN MARSH,PIROLO GOLDW_ WYMAN,RALMA GOLD CROWN,RAMOS,STARTMORE RUDOLPH,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,BADGER-BLUFF FANNY FREDDIE,SEAGULL-BAY SUPERSIRE,GLENN-ANN PALERMO,GENERVATIONS LIQUID GOLD,MAPEL WOOD BOULDER,DE-SU BKM MCCUTCHEN,UFM-DUBS ALTAESQUIRE
RENGAW CAPGAIN JELLY-ET - JELLY,33,0,0,0.489583333,0,0,0.163194444,0,0,0,0,0,0,0,0,0.052083333,0,0,0,0,0,0.121527778,0,0,0.104166667,0,0,0.055555556,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003472222,0
DE-SU 12659 TACTIC - 29HO17919,34,0.5,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0.052083333,0.118055556,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0.027777778,0,0,0,0,0,0.013888889,0.013888889,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,35,0.5,0,0.163194444,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0.003472222,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,36,0,0,0.163194444,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121527778,0,0,0.104166667,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0.010416667,0.020833333,0,0,0,0,0,0,0,0,0
LEANINGHOUSE BURCH-ET - 29HO18104,37,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.013888889,0.013888889,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,38,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0.013888889,0.013888889,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,39,0,0,0.163194444,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0.017361111,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0
BRENTANO - GGIBRENTANO,40,0,0,0.163194444,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,41,0,0,0.163194444,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,42,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0.027777778,0,0,0,0,0,0.013888889,0.013888889,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,43,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0,0,0,0,0.003472222,0
LARCREST CAYLE-ETS - 29HO18041,44,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0,0,0,0,0.003472222,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,45,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0,0,0,0,0.003472222,0
TEEMAR ASTON-ET - 29HO18076,46,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0.003472222,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,47,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0.003472222,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,48,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0.003472222,0,0,0,0,0
ABS MANSFIELD-ET - 29HO18006,49,0,0,0.163194444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0,0.003472222,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
