column,Row Order,JUDDS ADMIRAL,J_ S_ QUICKSILVER ROYAL,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,COMFORT ROYAL ALF (E_T_),FYN LEMVIG,HIGHLAND DUNCAN LESTER,ROYALS GREEN ELMO,SOLDIERBOY BOOMER SOONER OF CJF,LAWMUIR ELTON,CLAYDON PARK FLOWER POWER,ROCK ELLA PERIMITER,OKURA MANHATTEN-ET SJ3,KAARMONA VALERIAN,PARKWOOD CASPER,HIGHLAND MAGIC DUNCAN,WINDY WILLOW MONTANA JACE,ROCKMAPLE BROOK MONTANA,WILLAND ADS SAMUAL,MOLLY BROOK BRASS MAJOR,LIGHTWOOD LUCRATIVE,DUNCANS PRINCE MALCOLM,SKE IDE,ISDK Q IMPULS,BW PARADE-ET,VAN DER FITS FJORD GR,TAWA GROVE MAUNGA ET S3J,BAYLEA PENNYS CARLOS SJ3,ROCK ELLA PARAMOUNT-ET,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,MITCHELLS LIKABULL SJ3,SILVER FALLS QUICK FAME,CRESCENT SENATOR SAM,NOAKES NEVVY SJ2,WILLIAMS ROBS NORMAN,CRESENT ROYAL CHARLES-ET,CARDRONA ROBERTO,WILLIAMS MINSTREL,DARAWAY FLOWERPOWER NAVARA,ALCISTON CHARLIES LAD,AHLEM LEMVIG ABE,KONUI GLEN ELMOS BOWIE,CAIRNBRAE JACES ELTON,PANNOO ABE VANAHLEM,ALL LYNNS LOUIE VALENTINO,BHF-SSF PARADE LOUIE,NOWELL TARSAN,OKURA LIKA MURMUR S3J,RICHIES JACE TBONE A364
NOWELL TARSAN - TAILBOARD,15,0.5,0.782135076,0,0.347494553,0,0,0,0.291938998,0,0.119825708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033769063,0,0
OKURA LIKA MURMUR S3J - BOSMURMUR,16,0.5,0.782135076,0,0.347494553,0,0,0,0,0,0.239651416,0,0,0,0,0.093681917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041394336,0.040305011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025054466,0
PUKETAWA AD SUPERSTITION - BOSPUKETAWA,17,1,0,0,0.347494553,0,0.192810458,0.171023965,0,0,0,0,0,0.081699346,0,0.093681917,0,0,0,0.045751634,0,0,0,0,0,0,0,0.02832244,0.026143791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAL-MART NAVARA BLADE - 29JE3678,18,0,0.391067538,0.360566449,0.347494553,0.277777778,0,0,0.291938998,0,0,0.152505447,0,0,0,0,0,0,0,0,0,0,0,0.045751634,0.043572985,0,0,0,0,0,0.02832244,0.027233115,0,0,0,0,0,0,0,0,0.017429194,0,0,0,0,0,0,0,0,0,0
HILLSTAR LOT JESTER S3J - NZGLOTJESTER,19,1,0,0,0.347494553,0,0.192810458,0.171023965,0,0,0,0,0,0.081699346,0,0,0,0,0,0,0,0,0,0,0,0,0.098039216,0,0,0,0,0,0,0,0,0,0,0,0,0.045751634,0,0,0,0,0,0,0,0,0,0,0
ALL LYNNS LOUIE VALENTINO - 7J1038,20,0,0.391067538,0.721132898,0,0.277777778,0,0.171023965,0,0.148148148,0,0,0,0,0,0,0.063180828,0,0,0,0,0,0,0,0,0.035947712,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009803922,0.009803922,0,0,0
LYNBROOK TERRIFIC ET S3J - NZGTERRI,21,1,0.391067538,0,0,0,0.192810458,0.171023965,0,0,0,0,0,0.081699346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIGHTWOOD LUCRATIVE - LARFALOT,22,0,0.391067538,0.360566449,0.347494553,0,0,0,0.291938998,0.148148148,0.119825708,0,0,0,0,0,0,0,0,0,0,0.062091503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN 2420 SPIRITUAL - BROADSIDE,23,0.5,0,0.360566449,0,0,0.192810458,0.34204793,0,0.148148148,0,0,0,0.081699346,0,0,0.063180828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKURA GOLDIE INDEX - NZGOKURAINDX,24,1,0.391067538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045751634,0,0,0,0,0,0,0.098039216,0,0,0,0,0,0.041394336,0.040305011,0,0,0,0,0,0.045751634,0,0,0,0,0,0,0,0,0,0,0
