column,Row Order,KAARMONA VALERIAN,JUDDS ADMIRAL,ROYALS GREEN ELMO,FYN LEMVIG,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,J_ S_ QUICKSILVER ROYAL,OKURA MANHATTEN-ET SJ3,CLAYDON PARK FLOWER POWER,LIGHTWOOD LUCRATIVE,COMFORT ROYAL ALF (E_T_),ROCK ELLA PERIMITER,TAWA GROVE MAUNGA ET S3J,PARKWOOD CASPER,HIGHLAND DUNCAN LESTER,WINDY WILLOW MONTANA JACE,ISDK Q IMPULS,NOAKES NEVVY SJ2,CAIRNBRAE JACES ELTON,SOLDIERBOY BOOMER SOONER OF CJF,PANNOO ABE VANAHLEM,WILLAND ADS SAMUAL,ALL LYNNS LOUIE VALENTINO,WILLIAMS MINSTREL,MITCHELLS LIKABULL SJ3,OKURA LIKA MURMUR S3J,NOWELL TARSAN,KONUI GLEN ELMOS BOWIE,RICHIES JACE TBONE A364,LAWMUIR ELTON,ALCISTON CHARLIES LAD,DARAWAY FLOWERPOWER NAVARA,VAN DER FITS FJORD GR,SKE IDE,ROCKMAPLE BROOK MONTANA,HIGHLAND MAGIC DUNCAN,AHLEM LEMVIG ABE,WILLIAMS ROBS NORMAN,BW PARADE-ET,ROCK ELLA PARAMOUNT-ET,BHF-SSF PARADE LOUIE,SILVER FALLS QUICK FAME,BAYLEA PENNYS CARLOS SJ3,CRESENT ROYAL CHARLES-ET,MOLLY BROOK BRASS MAJOR,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,DUNCANS PRINCE MALCOLM,CARDRONA ROBERTO,CRESCENT SENATOR SAM
OKURA LIKA MURMUR S3J - BOSMURMUR,21,0,0.294264333,0,0,0,0.211584167,0.125318167,0,0,0,0,0,0,0.15039025,0,0,0,0,0,0,0,0,0,0,0.209960917,0.489583333,0,0,0,0.036456,0,0,0,0,0,0,0,0,0,0,0,0.05240875,0,0,0,0,0,0,0,0
PUKEROA TGM MANZELLO - CRVMANZELLO,22,0,0.29328775,0,0.208331833,0,0.211584167,0,0.242512917,0,0,0,0,0.3046875,0.15039025,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361305,0,0,0,0,0,0,0,0,0,0,0,0,0.018879917,0,0,0,0,0,0,0
HAYWARDS TGM AIM S3J - NZGHAYWARDS,23,0,0.29328775,0,0.208331833,0,0.211584167,0,0.242512917,0,0,0,0,0.3046875,0.15039025,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361305,0,0,0,0,0,0,0,0,0,0,0,0,0.018879917,0,0,0,0,0,0,0
HILLSTAR LOT JESTER S3J - NZGLOTJESTER,24,0,0.29361325,0,0.208331833,0,0.210607583,0,0.242512917,0,0,0,0,0,0,0.067054333,0,0,0,0,0,0,0,0,0.302083333,0,0,0,0,0,0,0,0,0.170246917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXTON NN FROSTY S3J - NZGFROSTING,25,0,0.29328775,0,0.208331833,0,0.210607583,0,0.242512917,0,0,0,0,0,0.146484,0.067054333,0,0,0.22265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055664,0,0,0,0,0,0,0,0,0,0,0.013671667,0
CANAAN NEVVY PIONEER - CRVCANAAN,26,0,0.29328775,0,0.208331833,0,0.210607583,0,0.242512917,0,0,0,0,0,0.146484,0.067054333,0,0,0.22265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055664,0,0,0,0,0,0,0,0,0,0,0.013671667,0
CENTRAL VALLEY GEORGE S3J - NZGGEORGEY,27,0,0.29328775,0,0,0,0.211584167,0.124016083,0,0,0,0,0,0.3046875,0.15039025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361305,0.204427083,0,0,0,0,0,0,0,0,0,0,0,0.018879917,0.055989,0,0,0,0,0,0
ARRIETA TGM DIABLO ET - CRVARRIETA,28,0,0.294264333,0,0,0,0.211584167,0.124016083,0,0,0,0,0,0.3046875,0.15039025,0,0,0,0,0,0,0,0.114583333,0,0,0,0,0,0,0,0.0361305,0,0,0,0,0,0,0,0,0,0,0,0,0.018879917,0,0,0,0,0,0,0.008137583
CAIRNBRAE JACES ELTON - ELTON,29,0,0,0,0,0,0,0.124992667,0,0,0,0.171220333,0,0,0,0,0.279296833,0,0,0.5,0.048499833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069660833,0.021157667,0,0,0,0,0,0,0,0,0.01920475,0,0,0.014973083,0,0
OKURA GOLDIE INDEX - NZGOKURAINDX,30,0,0.29361325,0,0,0,0,0.124016083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110677083,0,0.298177083,0.194335917,0,0,0,0,0,0,0,0.169270333,0,0,0,0,0,0,0,0,0.0485025,0,0,0,0,0,0,0,0
