column,Row Order,MOUNTFIELD SSI DCY MOGUL,AMIGHETTI NUMERO UNO,COYNE-FARMS DORCY,ENSENADA TABOO PLANET ET,LONG-LANGS OMAN OMAN,SEAGULL-BAY MVP-ET,SEAGULL-BAY SUPERSIRE,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,DE-SU 521 BOOKEM,BRAEDALE GOLDWYN,SANDY-VALLEY BOLTON,ROYLANE SOCRA ROBUST,PASEN MARSH,ROYLANE BOOKEM BOB 5170-ET,SHOREMAR JAMES,REGANCREST ALTAIOTA,VIEW-HOME MONTEREY-ET,CO-OP BOSSIDE MASSEY - ET,DE-SU BKM MCCUTCHEN,ROSE-BAUM TABOO,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,ROUMARE,MASCOL,SCHILLVIEW OMAN GERARD,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,EMPRISE BELL ELTON,VELVET-VIEW-KJ SOCRATES,COUNTRY ROAD ROUMARE CANBEE,END-ROAD PVF BOLIVER,OSDEL-ENDEAVOR BOVA CUBBY,PECKENSTEIN FORM BRET,APINA ALTAEMBASSY,BRYCEHOLME SS BOASTFUL,BUSHLEA PERFECTOR BOLD-ET,COGENT SUPERSHOT,COYNE-FARMS JACEY CRI - ET,END-ROAD BEACON,MORNINGVIEW MCC KINGBOY,SCHILLVIEW GARRETT,SEAGULL-BAY SILVER-ET,SIEMERS MOGUL PETY,S-S-I MONTROSS JEDI,STANTONS MAIN EVENT,UECKER SUPERSIRE JOSUPER-ET,VAL-BISSON DOORMAN,VIEW-HOME POWERBALL P ET,ZAHBULLS ALTA1STCLASS
DE-SU 13530 SEVILLE-ET (s.CBSUPERSHOT) - 29HO18490,15,0.479619565,0,0.123301304,0.097994913,0,0,0.02173913,0,0,0,0,0.029719565,0.006963261,0,0,0,0,0,0,0,0,0,0.004076087,0,0,0,0,0,0,0.001528435,0,0.001018957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROGENESIS WIMBLEDON (s.ALTAROBSON) - 0200HO11251,16,0.480298913,0,0.12347113,0,0,0,0,0,0,0.028872217,0,0,0.006623565,0,0.109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY BD FREEBORN-ET (s.BANDARES) - 7HO13981,17,0.479619565,0,0.123301304,0.097994913,0,0,0,0,0,0.028872217,0,0,0,0,0,0,0,0,0.003396739,0.006793478,0,0,0.003566565,0,0.003566565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTCOAST PERSEUS (s.PENMANSHIP) - 0200HO10777,18,0,0.307065217,0,0.097994913,0.163892304,0,0,0,0.146569043,0.029381739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE DURABLE-ET (s.CHARLEY) - 29HO18790,19,0.479619565,0,0.123301304,0.097994913,0,0,0.020380435,0,0,0,0,0,0.006623565,0,0,0,0,0,0,0,0,0,0.003566565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENOVO 14520 AMSTEL-ET (s.CHARLEY) - 29HO18863,20,0.479619565,0,0.123301304,0.097994913,0,0,0.020380435,0,0,0,0,0,0.006623565,0,0,0,0,0,0,0,0,0,0.003566565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALA BANDARES LARK-ET (s.BANDARES) - TLGLARK,21,0.479789391,0,0.123301304,0.097994913,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0.003396739,0,0,0,0,0,0.003566565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROGENESIS POWERHOUSE (s.BANDARES) - 0200HO11284,22,0.479789391,0,0.123301304,0.097994913,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0.003396739,0,0,0,0,0,0.003566565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOMBOONA DUKE MOHAWK-IMP-ET (s.DUKE) - TLGMOHAWK,23,0.479619565,0,0.123301304,0,0,0,0.019701087,0,0,0.028872217,0,0.029719565,0.006623565,0,0,0,0,0.027173913,0,0.006793478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALA BANDARES ATTICUS (s.BANDARES) - TLGATTICUS,24,0.480298913,0,0.12347113,0.097994913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003396739,0,0,0,0,0,0.003566565,0.008322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
