column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,CAROL PRELUDE MTOTO ET,HA-HO CUBBY MANFRED-ET,BRAEDALE GOLDWYN,MADAWASKA AEROSTAR,TO-MAR BLACKSTAR ET,EMPRISE BELL ELTON,MAUGHLIN STORM,A RONNYBROOK PRELUDE ET,ELITE GOLD BULLION-IMP-ET,ENSENADA TABOO PLANET ET,ELITE MOUNTAIN DONOR IMP (E_T),SINGING-BROOK N-B MASCOT ET,SHOREMAR JAMES,HILL VALLEY BASAR ACME,MARA-THON BW MARSHALL,JOCKO BESN,LONG-LANGS OMAN OMAN,BIS-MAY S-E-L MOUNTAIN ET,ROUMARE,OSDEL-ENDEAVOR BOVA CUBBY,AG-HIGH SIGHTS BS INGOT-ET,ROSE-BAUM TABOO,KED JUROR ET,BIS-MAY TRADITION CLEITUS,HANOVERHILL STARBUCK,GIBBON,CARENDA FABULON-ET,ETAZON KNOCK OUT,Q250 BESNE BUCK,BASAR,MAIZEFIELD BELLWOOD - (E_T_),A MARK CJ GILBROOK GRAND ET,DIXIE-LEE AARON -ET,SOUTHWIND BELL OF BAR-LEE,BUSHLEA WAVES FABULON,DELLKA JUROR GORDON - TW,LEKKER VALIANT ROYALTY,ETAZON ADDISON,OUT-JOCK CHOICE AMEL,SHOREMAR PERFECT STAR (ET),HOW-EL-ACRES K BELLMAN ET,FATAL,WALKWAY CHIEF MARK,NORRIELAKE CLEITUS LUKE TWIN,END-ROAD BLACKSTAR MAJIC-ET,ETAZON CELSIUS,BELT,CARLIN-M IVANHOE BELL
EMU BANKS CHRISTMAS-ET - CHRISTMAS,15,0,0,0,0,0,0,0.115755213,0,0,0,0.482565875,0,0,0,0,0,0,0.086005534,0,0,0.087401217,0,0.119013708,0,0,0,0.025103355,0.024638961,0,0,0.022779003,0,0,0,0,0.013946229,0,0,0,0,0,0,0.030217286,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,16,0,0.287308195,0.250115831,0.075312684,0,0.089721641,0.115755213,0.061828112,0,0.062758923,0,0,0,0,0,0,0,0,0,0,0,0.01441098,0,0,0,0,0.025103355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETAZON STEFANO - CRVESTEFANO,17,0,0.287308195,0,0.075312684,0.15620643,0.090186511,0,0.061828112,0.113899064,0,0,0,0,0,0.053928291,0,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0,0.013016488,0,0,0,0,0,0,0,0,0,0,0.010692018,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,18,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0,0,0,0.05206881,0,0,0,0,0.252905291,0,0,0,0,0.01441098,0,0.013016964,0,0,0,0,0,0,0,0,0.062295005,0,0,0,0,0,0,0,0.003718963,0,0,0,0,0,0.002324352,0,0,0
PETHERTON DENSITY - 0200HO02700,19,0,0.287308195,0,0.075312684,0.133891225,0,0,0.061828112,0.112504334,0,0,0,0,0,0.04834949,0,0,0,0.059507211,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0,0.011621758,0.012552094,0,0,0,0,0,0,0,0,0,0,0.006508423,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,20,0,0.287308195,0,0.075312684,0.133891225,0,0,0.061828112,0.112504334,0,0,0,0,0,0.04834949,0,0,0,0.059507211,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0,0.011621758,0.012552094,0,0,0,0,0,0,0,0,0,0,0.006508423,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,21,0,0.309623399,0,0.080891485,0,0,0,0.063687712,0,0,0,0,0,0,0,0,0.258484092,0,0,0,0,0.01580571,0,0,0,0,0,0,0,0,0,0,0.063689735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005578444
BALLYCAIRN OMAN PELLO - 29HO12772,22,0,0.309623399,0,0.080891485,0.133891225,0,0,0.063222842,0.112504334,0,0,0,0,0,0.04834949,0,0,0,0,0,0,0.01580571,0,0,0,0,0,0,0,0,0,0,0,0.011621758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005578444
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,23,0,0.281729394,0,0.073917954,0.133891225,0,0,0,0.112504334,0,0,0.05206881,0,0,0.04834949,0,0,0,0,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0.011621758,0,0,0,0,0,0,0.003718963,0,0,0,0,0,0.002324352,0,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,24,0,0.281729394,0,0.073917954,0.133891225,0,0,0,0.112504334,0,0,0.05206881,0,0,0.04834949,0,0,0,0,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0.011621758,0,0,0,0,0,0,0.003718963,0,0,0,0,0,0.002324352,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,25,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0,0,0,0,0,0,0,0,0,0.080426733,0.059507211,0,0.065086012,0.01441098,0,0,0,0,0,0.023244231,0,0,0.021384273,0,0,0,0.012552094,0,0,0,0,0,0,0,0,0,0,0.006508423,0,0,0,0
INDIJKS BABYLON - 29HO12470,26,0,0.309623399,0,0.080891485,0,0,0,0.063687712,0,0,0,0,0,0,0,0,0,0,0,0.134353477,0,0.01580571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02324435,0.066945494,0,0,0,0,0,0,0,0,0,0.005578444
MANNA FARM DEL SANTO - DELSANTO,27,0,0,0,0,0,0,0.115755213,0,0,0,0,0,0,0.066013016,0,0.267317461,0,0,0,0,0,0,0,0,0,0,0.025103355,0.024638961,0.042770808,0,0,0.066480385,0,0,0,0.013481359,0,0,0,0,0,0.033471497,0,0,0,0,0,0,0.015340959,0
FIR-RIDGE PLANET PLUTO - 14H6239,28,0,0.287308195,0,0.075312684,0,0,0.115755213,0.061828112,0,0,0,0.074384014,0,0,0,0,0,0,0,0,0,0.01441098,0,0.018595765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005113693,0,0,0,0,0,0.003719082,0,0,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245002257,0,0.086005534,0,0,0.087401217,0,0,0,0,0,0.025103355,0.024638961,0,0,0.022779003,0.060901584,0,0,0,0.013946229,0,0,0,0,0,0.032076767,0,0,0,0,0,0,0.013946229,0
MAIRE MINT FIRE-UP - NZGFIREUP,30,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0,0,0,0,0,0.066013016,0,0,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0.079962696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,31,0,0,0,0,0.15620643,0.090186511,0,0,0.113899064,0,0,0,0,0.066013016,0.053928291,0,0,0,0,0,0,0,0,0,0,0,0,0.024638961,0.042770808,0,0,0,0,0.013016488,0,0.013481359,0,0,0,0,0,0,0,0,0.010692018,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,32,0,0.287308195,0,0.075312684,0,0.091116371,0,0.061828112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01441098,0,0,0,0,0.025103355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,33,0,0,0.24453703,0,0,0,0.115755213,0,0,0.061364193,0,0.074384014,0,0,0,0,0,0,0,0,0,0,0,0.018595765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005113693,0,0,0,0,0,0.003719082,0,0,0
DELTA G-FORCE - CRVGFORCE,34,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0,0,0,0,0,0,0,0,0,0,0.059507211,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0,0,0.012552094,0,0,0,0,0,0,0,0,0,0,0.006508423,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,35,0,0.281729394,0,0.073917954,0,0.089721641,0,0,0,0.061364193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,36,0,0,0.24453703,0,0,0,0,0,0,0.061364193,0,0,0,0,0,0,0,0.080426733,0,0,0.065086012,0,0,0,0,0,0,0.023244231,0,0,0.021384273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,37,0,0.281729394,0,0.073917954,0,0,0,0,0,0.061364193,0,0.05206881,0,0,0,0,0,0,0,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003718963,0,0,0,0,0,0.002324352,0,0,0
EVEN-PAR ZUMA - 29HO16607,38,0,0.281729394,0,0.073917954,0,0,0,0,0,0.061364193,0,0.05206881,0,0,0,0,0,0,0,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003718963,0,0,0,0,0,0.002324352,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,39,0,0.281729394,0,0.073917954,0,0,0,0,0,0.061364193,0,0.05206881,0,0,0,0,0,0,0,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003718963,0,0,0,0,0,0.002324352,0,0,0
VH OYVIND - VIKHOYVIND,40,0,0.309623399,0,0.080891485,0,0,0,0.063222842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01580571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005578444
MR APPLES ARMANI - 7H11703,41,0,0,0,0,0.15620643,0.090186511,0,0,0.113899064,0,0,0,0,0,0.053928291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013016488,0,0,0,0,0,0,0,0,0,0,0.010692018,0,0,0,0,0
EDELWEISS - EDELWEISS,42,0,0,0,0,0,0,0.115755213,0,0,0,0,0.074384014,0,0,0,0,0,0.080426733,0,0,0.065086012,0,0,0.018595765,0,0,0,0.023244231,0,0,0.021384273,0,0,0,0,0,0,0,0,0,0.005113693,0,0,0,0,0,0.003719082,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,43,0,0.281729394,0,0.073917954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005113693,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,44,0,0,0,0,0,0,0.117149943,0,0,0,0,0.10413762,0,0,0,0,0,0,0,0,0,0,0,0.04091097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010692494,0,0,0,0.011156888,0,0.009297883,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,45,0,0.280334664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066013016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079962696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027893648,0,0,0,0.017201035,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066013016,0,0,0,0,0,0,0,0,0,0,0,0.052996527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026498918,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066013016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052996527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052996527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
