column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,PICSTON SHOTTLE,MANNA FARM DEL SANTO,HILL VALLEY BASAR ACME,HA-HO CUBBY MANFRED-ET,ROUMARE,SHOREMAR JAMES,JOCKO BESN,CAROL PRELUDE MTOTO ET,BASAR,MARA-THON BW MARSHALL,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,UFM-DUBS ALTAESQUIRE,ENSENADA TABOO PLANET ET,GRAN-J OMAN MCCORMICK,Q250 BESNE BUCK,CARENDA FABULON-ET,EMPRISE BELL ELTON,GIBBON,JENNY-LOU MRSHL TOYSTORY,A MARK CJ GILBROOK GRAND ET,REGANCREST ELTON DURHAM,SANDY-VALLEY BOLTON,OSDEL-ENDEAVOR BOVA CUBBY,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,ROSE-BAUM TABOO,BUSHLEA PERFECTOR BOLD-ET,SHOREMAR PERFECT STAR (ET),GLENN-ANN PALERMO,FUSTEAD EMORY BLITZ,DIXIE-LEE AARON -ET,REGANCREST ALTAIOTA,TO-MAR BLACKSTAR ET,RICH-RO MARK SAM -ET,EMERALD-ACR-SA T-BAXTER,ELITE GOLD BULLION-IMP-ET,STARTMORE RUDOLPH,MAPLE-DOWNS-I G W ATWOOD,BELT,FATAL,WALKWAY CHIEF MARK,ETAZON ADDISON,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,AG-HIGH SIGHTS BS INGOT-ET,EMERALD-ACRES-SA TONIC ET,NORRIELAKE CLEITUS LUKE TWIN
GENERVATIONS LIQUID GOLD - GVLIQUIDGOLD,19,0.87962963,0,0.668402519,0,0,0.250576889,0,0,0,0.21354,0,0,0,0.092592593,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0,0,0.017361037,0,0,0,0,0,0,0,0,0,0,0,0.001736,0.001736,0,0,0
PURNIM PICOLA BIOCARD 4TH-ET - BIOCARD,20,0,0.604166667,0,0.601851852,0.483796148,0,0,0.167245037,0,0,0.123262963,0,0,0,0,0.020833333,0,0,0.042824,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0.083333333,0,0,0,0,0,0,0,0.024304444,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,21,0,0.604166667,0,0.601851852,0.483796148,0,0,0.167245037,0,0,0.123262963,0,0,0,0,0.020833333,0,0,0.042824,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0.083333333,0,0,0,0,0,0,0,0.024304444,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,22,0.87962963,0,0.668402519,0,0,0.250576889,0,0,0,0.21354,0,0,0,0.092592593,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0,0,0.017361037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,23,0.87962963,0.611111111,0,0,0,0.250576889,0,0.168981185,0,0,0,0,0.133098519,0,0,0,0,0,0,0,0,0,0.041085481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,24,0.887152741,0,0.66666637,0,0,0.252313037,0,0,0,0,0,0,0,0.085648148,0,0.020833333,0,0,0,0.093744444,0,0,0,0,0,0.056130667,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,25,0.877893481,0.611111111,0,0,0,0,0,0.168981185,0,0,0,0,0.133098519,0,0,0.020833333,0,0,0,0,0,0,0.041085481,0,0,0,0,0,0.005208296,0,0,0,0.032407111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,26,0,0.604166667,0.67592563,0,0,0,0,0.167245037,0,0.215276148,0,0,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0.060182074,0.072334815,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,27,0,0.604166667,0.668402519,0,0,0,0,0.167245037,0,0.21354,0,0,0,0,0,0.020833333,0,0,0.042824,0,0,0,0,0,0,0,0,0,0.005208296,0.046296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,28,0.880208296,0,0,0,0,0.250576889,0,0,0,0,0,0.309027111,0,0,0,0,0,0,0,0,0,0.199074074,0,0,0,0,0,0,0,0,0,0,0,0,0.12037037,0,0,0,0,0,0,0,0,0,0,0.001736,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,29,0.877893481,0,0.66666637,0,0,0,0,0,0,0,0,0,0,0.085648148,0,0.020833333,0,0,0,0,0,0,0,0,0.056712889,0,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,30,0,0,0,0.601851852,0.483796148,0,0,0,0.339119259,0,0.123262963,0,0,0,0,0.020833333,0,0.082753185,0.042824,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007522815,0
CARENDA REACTOR 352 - REACTOR,31,0,0,0,0.601851852,0.483796148,0,0,0,0.339119259,0,0.123262963,0,0,0,0,0.020833333,0,0.082753185,0.042824,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007522815,0
DE-SU 12659 TACTIC - 29HO17919,32,0.877893481,0,0.66666637,0,0,0,0,0,0,0,0,0,0,0.085648148,0,0.019097185,0,0,0,0,0,0,0,0,0.056712889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,33,0.877893481,0.604166667,0,0,0,0,0,0.167245037,0,0,0,0,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,34,0,0,0,0.62962963,0.490740593,0,0,0,0,0,0.124999111,0,0,0,0,0.027777778,0,0,0.044560148,0,0.070600444,0,0,0,0,0,0,0,0.006944444,0,0.086223852,0,0,0,0,0,0,0,0,0,0,0.027776444,0,0,0,0.001736,0.001736,0,0,0
RENGAW MOM JUSTLE - JUSTLE,35,0.886574074,0,0,0,0,0.252313037,0,0,0,0,0,0,0,0.12037037,0,0.027777778,0,0,0,0.093744444,0,0,0,0,0,0.056130667,0,0,0.006944444,0,0,0,0,0.019097185,0,0,0,0,0,0,0,0,0,0,0,0.001736,0.001736,0,0,0.01330963
PINE-TREE-GF REMARK-P-ET - 29HO16999,36,0.877893481,0,0,0,0,0,0,0,0,0,0,0.309027111,0,0,0,0.020833333,0,0,0,0,0,0.199074074,0,0,0,0,0,0,0.005208296,0,0,0,0.032407111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,37,0.887152741,0,0,0,0,0.252313037,0,0,0,0,0,0,0,0,0,0.020833333,0,0,0,0.093744444,0,0,0,0,0,0.056130667,0,0,0.005208296,0,0,0,0.032407111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,38,0.880208296,0,0,0,0,0.250576889,0,0,0,0,0,0,0,0.092592593,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0.005208296,0,0,0,0.032407111,0.017361037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOMBOONA DAVINCI OMAN - TLGOMAN,39,0.87962963,0,0,0,0,0.250576889,0,0,0,0,0,0,0,0.092592593,0,0,0,0,0,0,0,0,0,0,0.056712889,0,0,0,0,0,0,0,0,0.017361037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DILEE BUDDHA OLLIE 751 - OTTMAR,40,0,0.611111111,0,0,0,0,0,0.168981185,0,0,0,0,0.133098519,0,0,0.027777778,0,0,0.044560148,0,0.070600444,0,0.041085481,0,0,0,0,0,0.006944444,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001736,0.001736,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,41,0.87962963,0,0,0,0,0.250576889,0,0,0,0,0,0,0,0,0,0.023148148,0,0,0,0,0,0,0,0,0,0,0,0,0.005786963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA ATLEY PINNACLE-ET - THETOP,42,0,0.604166667,0,0,0,0,0,0.167245037,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0.111110963,0,0,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0.036458074,0.001736,0.001736,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,43,0.877893481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081597185,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY SS NARDOO - NARDOO,44,0.877893481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030092593,0,0,0,0,0,0,0,0,0,0,0,0,0.007523111,0,0,0,0.032407111,0,0,0,0,0,0,0,0,0,0,0,0,0.001736,0.001736,0,0,0
ABS MARION-ET - 29HO18009,45,0.877893481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056712889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEANINGHOUSE BURCH-ET - 29HO18104,46,0.877893481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056712889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,47,0,0,0.66666637,0,0,0,0,0,0,0,0,0,0,0,0,0.028935111,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001736,0.001736,0,0,0
LARCREST CAYLE-ETS - 29HO18041,48,0,0,0.66666637,0,0,0,0,0,0,0,0,0,0,0,0,0.019097185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OURWAY PLANE JACK - PLANEJACK,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0.100689481,0,0,0.079282074,0,0,0,0,0,0,0.003472148,0.003472148,0.018518074,0,0
DE-SU 11231 TURVY-ET - 29HO16668,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0.024304444,0,0,0,0,0,0.001736,0.001736,0,0,0
