column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,MAUGHLIN STORM,GIBBON,BRAEDALE GOLDWYN,SHOREMAR JAMES,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,EMPRISE BELL ELTON,JOCKO BESN,SINGING-BROOK N-B MASCOT ET,MADAWASKA AEROSTAR,OSDEL-ENDEAVOR BOVA CUBBY,CARENDA FABULON-ET,A MARK CJ GILBROOK GRAND ET,ROUMARE,ELITE MOUNTAIN DONOR IMP (E_T),SOUTHWIND BELL OF BAR-LEE,BIS-MAY S-E-L MOUNTAIN ET,Q250 BESNE BUCK,TO-MAR BLACKSTAR ET,CAROL PRELUDE MTOTO ET,BASAR,HILL VALLEY BASAR ACME,HANOVERHILL STARBUCK,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,LONG-LANGS OMAN OMAN,SHOREMAR PERFECT STAR (ET),PICSTON SHOTTLE,DIXIE-LEE AARON -ET,ELITE GOLD BULLION-IMP-ET,BELT,A RONNYBROOK PRELUDE ET,AG-HIGH SIGHTS BS INGOT-ET,BIS-MAY TRADITION CLEITUS,ETAZON KNOCK OUT,NORRIELAKE CLEITUS LUKE TWIN,MANNA FARM DEL SANTO,LEKKER VALIANT ROYALTY,STARTMORE RUDOLPH,EMERALD-ACRES-SA TONIC ET,BUSHLEA WAVES FABULON,FUSTEAD EMORY BLITZ,JARDIN,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,TOP DECK KO PIERRE,BUSHLEA PERFECTOR BOLD-ET,COUNTRY ROAD ROUMARE CANBEE
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,14,0,0,0,0,0,0,0,0,0,0,0.318181818,0.143939394,0,0,0,0,1,0,0.606060606,0,0.128787879,0.090909091,0,0,0.196969697,0,0,0,0,0.068181818,0,0,0,0.022727273,0,0,0,0,0,0.068181818,0,0,0,0,0,0,0,0,0,0
EDELWEISS - EDELWEISS,15,0,0,0,0.522727273,0,0,0.287878788,0.287878788,0,0.545454545,0,0,0,0,0,0.409090909,0,0,0,0.295454545,0.128787879,0,0,0,0,0.068181818,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,16,0.522727273,0.416666667,0,0,0.371212121,0.371212121,0,0,0.166666667,0,0,0.143939394,0.136363636,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0.068181818,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIJKS BABYLON - 29HO12470,17,0.522727273,0.416666667,0,0,0,0,0,0,0.333333333,0,0,0,0.136363636,0,0,0,0,0,0.606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068181818,0,0,0,0,0,0,0,0,0,0
FIR-RIDGE PLANET PLUTO - 14H6239,18,0.522727273,0.416666667,0,0,0,0,0.287878788,0.287878788,0.166666667,0,0,0,0.136363636,0,0,0,0,0,0,0,0.128787879,0,0,0,0,0.068181818,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,19,0,0,0,0,0.371212121,0.371212121,0.287878788,0.287878788,0,0,0,0,0,0.568181818,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0
DE-SU DISTINCTION 11130 - 7HO11775,20,0.522727273,0.416666667,0,0,0,0,0.287878788,0.287878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0.068181818,0.068181818,0.106060606,0,0.068181818,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,21,0.522727273,0.416666667,0,0,0,0,0.287878788,0.287878788,0.166666667,0,0,0,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0.068181818,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,22,0,0,0,0.522727273,0,0,0,0,0,0.545454545,0,0,0,0,0,0.409090909,0,0,0,0.295454545,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,23,0,0,0,0,0,0,0,0,0,0.545454545,0,0.143939394,0,0,0,0,0,0.234848485,0,0.295454545,0,0.090909091,0,0,0.098484848,0,0,0,0,0.068181818,0,0,0,0.022727273,0,0.075757576,0,0,0,0,0,0.174242424,0,0,0.113636364,0,0,0,0,0
MR APPLES ARMANI - 7H11703,24,0,0,0.537878788,0,0.371212121,0.371212121,0,0,0,0,0,0.287878788,0,0,0.234848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,25,0.522727273,0.416666667,0,0,0,0,0,0,0.166666667,0,0,0.143939394,0.136363636,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0.106060606,0,0.068181818,0.083333333,0,0,0.022727273,0,0,0,0.037878788,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,26,0.522727273,0.416666667,0,0,0,0,0,0,0.166666667,0,0,0.143939394,0.136363636,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0.106060606,0,0.068181818,0.083333333,0,0,0.022727273,0,0,0,0.037878788,0,0,0,0,0,0,0,0,0,0,0,0
