column,Row Order,GIBBON,A RONNYBROOK PRELUDE ET,HANOVERHILL STARBUCK,BIS-MAY S-E-L MOUNTAIN ET,CARENDA FABULON-ET,CARLIN-M IVANHOE BELL,ELITE MOUNTAIN DONOR IMP (E_T),FATAL,JOCKO BESN,BIS-MAY TRADITION CLEITUS,LEKKER VALIANT ROYALTY,ELITE GOLD BULLION-IMP-ET,BASAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,AG-HIGH SIGHTS BS INGOT-ET,BELT,ETAZON KNOCK OUT,MADAWASKA AEROSTAR,HANOVER HILL INSPIRATION,ETAZON CELSIUS,A MARK CJ GILBROOK GRAND ET,CAL-CLARK BOARD CHAIRMAN,NORRIELAKE CLEITUS LUKE TWIN,HOW-EL-ACRES K BELLMAN ET,BUSHLEA WAVES FABULON,LYLEHAVEN AMBITION ET,MARA-THON BW MARSHALL,BRAEDALE GOLDWYN,MAIZEFIELD BELLWOOD - (E_T_),DELTA CLEITUS JABOT,JARDIN,MANNA FARM DEL SANTO,ETAZON ADDISON,BADGER-BLUFF FANNY FREDDIE,B-Y-U MANDEL BOMBAY,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,DE-SU DISTINCTION 11130,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,GENERVATIONS EPIC,HA-HO CUBBY MANFRED-ET,HONEYCREST BOMBAY NIFTY,LADYS-MANOR PL SHAMROCK,LONG-LANGS OMAN OMAN,LUTZ-MEADOWS E MANDEL-ET
INDIJKS BABYLON - 29HO12470,16,0,0,0,0.544502618,0,0.230366492,0,0,0,0,0.19895288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,17,0,0.136125654,0.204188482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,18,0,0,0,0,0,0.230366492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,19,0.298429319,0.136125654,0,0,0,0,0,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,20,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,21,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,22,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,23,0.298429319,0,0,0,0,0,0,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIR-RIDGE PLANET PLUTO - 14H6239,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,25,0,0,0.204188482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0,0,0,0.031413613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
