column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,HILL VALLEY BASAR ACME,END-ROAD BEACON,COYNE-FARMS DORCY,HA-HO CUBBY MANFRED-ET,BUNDALONG MARKS MEDALLION,SANDY-VALLEY BOLTON,SHOREMAR JAMES,MARA-THON BW MARSHALL,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,JOCKO BESN,BASAR,ROSE-BAUM TABOO,MADAWASKA AEROSTAR,ROUMARE,CARENDA FABULON-ET,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,Q250 BESNE BUCK,CHARLESDALE SUPERSTITION,ETAZON KNOCK OUT,GIBBON,DIXIE-LEE AARON -ET,REGANCREST ALTAIOTA,A MARK CJ GILBROOK GRAND ET,END-ROAD PVF BOLIVER,OSDEL-ENDEAVOR BOVA CUBBY,FATAL,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,WALKWAY CHIEF MARK,RICH-RO MARK SAM -ET,STARTMORE RUDOLPH,BADGER-BLUFF FANNY FREDDIE,COUNTRY ROAD ROUMARE CANBEE,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,JARDIN,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,MR CHASSITY GOLD CHIP,RAMOS,UFM-DUBS ALTAESQUIRE
PLAIN-KNOLL DONA BAYONET-ET - 7HO12236,16,0.992395436,0.286596902,0.049429664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012357112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH FLAMER-ET - FLAMER,17,0.993821322,0,0.055133087,0,0.248573718,0,0,0,0,0,0,0,0,0,0,0,0,0.013782998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003802038,0.002376274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,18,0.992395436,0,0.046102637,0,0,0,0.275665433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,19,0.992395436,0,0.046102637,0,0,0,0.275665433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT PEAK ALEX - CBPEAKALEX,20,0.992395436,0.286596902,0,0,0,0,0,0,0,0,0,0,0,0,0.032319396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW REDMAW KB 9975-ET - KINGTUT,21,0.992395436,0,0.0537072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013307743,0,0,0,0,0,0,0.017110268,0,0,0,0,0,0.007129187,0,0,0.003802038,0.002376274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY FIVESTAR-ET - 29HO18233,22,0.992870691,0,0.046102637,0,0,0,0,0,0,0,0,0,0,0,0.030893509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,23,0.992395436,0,0.054182455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013307743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003802038,0.002376274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,24,0.992395436,0,0.046102637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,25,0.992395436,0,0.046102637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
