column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,CAROL PRELUDE MTOTO ET,MADAWASKA AEROSTAR,ENSENADA TABOO PLANET ET,MAUGHLIN STORM,ROSE-BAUM TABOO,JOCKO BESN,SHOREMAR JAMES,EMPRISE BELL ELTON,BRAEDALE GOLDWYN,HILL VALLEY BASAR ACME,BASAR,A RONNYBROOK PRELUDE ET,Q250 BESNE BUCK,MARA-THON BW MARSHALL,A MARK CJ GILBROOK GRAND ET,GIBBON,SANDY-VALLEY BOLTON,OSDEL-ENDEAVOR BOVA CUBBY,ROUMARE,LONG-LANGS OMAN OMAN,DIXIE-LEE AARON -ET,END-ROAD BEACON,ETAZON KNOCK OUT,OUT-JOCK CHOICE AMEL,CARENDA FABULON-ET,COYNE-FARMS DORCY,END-ROAD PVF BOLIVER,BUNDALONG MARKS MEDALLION,END-ROAD BLACKSTAR MAJIC-ET,FATAL,WALKWAY CHIEF MARK,STARTMORE RUDOLPH,CHARLESDALE SUPERSTITION,REGANCREST ALTAIOTA,RICH-RO MARK SAM -ET,BADGER-BLUFF FANNY FREDDIE,COUNTRY ROAD ROUMARE CANBEE,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,JARDIN,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,MR CHASSITY GOLD CHIP,RAMOS,UFM-DUBS ALTAESQUIRE
KIRK ANDREWS PICOLA M122 - TEMPTATION,16,0,0,0,0,0,0.04,0,0.04,0.213333333,0,0,0,0.133333333,0.123333333,0,0.13,0,0,0.103333333,0,0,0.063333333,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,17,0,0.206666667,0,0,0,0.04,0.323333333,0.04,0,0.093333333,0,0.066666667,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,18,0,0.206666667,0,0,0,0.04,0.323333333,0.04,0,0.093333333,0,0.066666667,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS HONDA-ET - MINOTAUR,19,0,0.206666667,0,0,0,0.04,0,0.04,0.213333333,0,0,0,0,0,0,0.13,0,0,0.103333333,0,0,0.063333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY FIVESTAR-ET - 29HO18233,20,0.733333333,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,21,0.366666667,0.206666667,0,0,0,0.04,0,0.04,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAIN-KNOLL DONA BAYONET-ET - 7HO12236,22,0.366666667,0.206666667,0,0,0,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,23,0,0,0,0,0,0.04,0,0.04,0.213333333,0,0,0,0.133333333,0.123333333,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,24,0.366666667,0.206666667,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0.013333333,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,25,0.366666667,0.206666667,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0.013333333,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT PEAK ALEX - CBPEAKALEX,26,0.366666667,0.206666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,27,0.366666667,0,0,0,0,0.12,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMIRE OVERSIDE MACARENA - CBMACARENA,28,0,0.206666667,0.226666667,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,29,0,0,0,0,0,0.04,0,0.04,0,0.093333333,0,0.066666667,0.133333333,0.123333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW REDMAW KB 9975-ET - KINGTUT,30,0.366666667,0,0,0,0,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0.016666667,0,0.013333333,0,0,0,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDG ABS JERICHO-ET - 29HO18110,31,0.366666667,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0.03,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS JERRICK-ET - 29HO18059,32,0,0.206666667,0.226666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRONTE PARK CASHCOIN ROWDY-ET - ROWLING,33,0,0.206666667,0,0,0,0.04,0,0.04,0,0.093333333,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,34,0,0.206666667,0,0,0,0.04,0,0.04,0,0.093333333,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,35,0.366666667,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,36,0.366666667,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,37,0.366666667,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,38,0.366666667,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,39,0.366666667,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,40,0.366666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILDER HAMLET - 29HO17334,41,0,0.206666667,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0.006666667,0.023333333,0,0,0,0,0,0,0,0,0,0,0,0,0
MR SEAGULL-BAY SANDAL-ET - 29HO18161,42,0,0.206666667,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE BLUEBELL - 29HO18199,43,0,0.206666667,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,44,0,0.206666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY TRUE PP - 7HO12814,45,0,0.206666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,46,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0.013333333,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,47,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0.013333333,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,48,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,49,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,50,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023333333,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
