column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,PICSTON SHOTTLE,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,TO-MAR BLACKSTAR ET,A RONNYBROOK PRELUDE ET,MAUGHLIN STORM,MARA-THON BW MARSHALL,OUT-JOCK CHOICE AMEL,STARTMORE RUDOLPH,JOCKO BESN,Q250 BESNE BUCK,RAMOS,REGANCREST ELTON DURHAM,END-ROAD PVF BOLIVER,BRAEDALE GOLDWYN,HOW-EL-ACRES K BELLMAN ET,ELITE GOLD BULLION-IMP-ET,AG-HIGH SIGHTS BS INGOT-ET,SHOREMAR JAMES,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,BADGER-BLUFF FANNY FREDDIE,SANDY-VALLEY BOLTON,A MARK CJ GILBROOK GRAND ET,FUSTEAD EMORY BLITZ,DIXIE-LEE AARON -ET,BARBEE-M JUROR ITO,REGANCREST ALTAIOTA,NORRIELAKE CLEITUS LUKE TWIN,THE CHOICE OF MARK ADAM ET,WALKWAY CHIEF MARK,END-ROAD BLACKSTAR MAJIC-ET,GIBBON,REGANCREST RBK DIE-HARD,GRAN-J OMAN MCCORMICK,BELT,SHOREMAR PERFECT STAR (ET),FATAL,EMERALD-ACRES-SA TONIC ET,ETAZON ADDISON,EMERALD-ACR-SA T-BAXTER,DELTA NOVALIS,NEHLS CHIEF CRUSADER,BASAR,HILL VALLEY BASAR ACME,RICH-RO MARK SAM -ET
LEANINGHOUSE BURCH-ET - 29HO18104,34,0.320774798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014261388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,35,0,0,0,0,0.09088974,0,0.132609621,0,0,0,0,0,0,0,0,0.056406982,0,0,0.007449979,0,0,0,0.007449979,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,36,0,0,0,0,0,0,0,0,0,0,0,0.051936994,0.137505321,0,0,0.056406982,0,0,0,0,0,0,0,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA FOLKLAW 339 - FOLKLAW,37,0,0,0,0,0,0,0,0,0,0.073861218,0,0,0,0.045338442,0.03256705,0,0,0,0.007449979,0,0,0,0.007449979,0,0,0,0,0.007875692,0,0,0,0,0,0,0,0,0.005959983,0,0,0,0,0,0,0,0,0,0,0,0,0
DILEE BUDDHA OLLIE 751 - OTTMAR,38,0,0,0,0,0,0,0,0,0,0.073861218,0,0.051936994,0,0,0,0,0,0,0.007449979,0,0,0,0.007449979,0.002979991,0.002979991,0,0,0.007875692,0,0,0,0,0,0,0,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,39,0,0,0,0,0,0,0,0,0,0,0,0,0.137505321,0,0,0,0,0,0.007449979,0,0,0,0.007449979,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212857,0.000212857,0
PURNIM PICOLA BIOCARD 4TH-ET - BIOCARD,40,0,0,0,0,0,0,0,0,0,0,0,0,0.137505321,0,0,0,0,0,0.007449979,0,0,0,0.007449979,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212857,0.000212857,0
RENGAW CAPGAIN JELLY-ET - JELLY,41,0,0,0,0,0.09088974,0,0,0,0,0,0,0.051936994,0,0,0,0,0,0,0,0,0,0,0,0.008939974,0.002979991,0,0,0,0,0,0,0,0,0,0,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA ATLEY PINNACLE-ET - THETOP,42,0,0,0,0,0,0,0,0,0,0,0,0.051936994,0,0,0,0,0.067049808,0,0.007449979,0,0,0,0.007449979,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0.002979991,0,0,0,0,0,0,0,0.009365688,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,43,0,0,0,0,0.09088974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007449979,0,0,0,0.007449979,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212857,0.000212857,0
CARENDA VALIUM 354 - VALIUM,44,0,0,0,0,0,0,0,0,0,0.073861218,0,0,0,0,0,0,0,0,0.007449979,0,0,0,0.007449979,0.002979991,0.002979991,0,0,0.007875692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000212857,0.000212857,0
MANNA FARM DELANO - DELANO,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045338442,0.03256705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005959983,0,0,0.008088548,0.007875692,0,0,0,0,0,0,0.000212857,0.000212857,0
LARCREST CAYLE-ETS - 29HO18041,46,0,0,0,0,0.09088974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045338442,0.03256705,0,0,0,0,0,0,0,0,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004682844,0,0,0,0,0.000212857,0.000212857,0
CARENDA REACTOR 352 - REACTOR,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045338442,0.03256705,0,0,0,0,0,0,0,0,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004682844,0,0,0,0,0.000212857,0.000212857,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045338442,0.03256705,0,0,0,0,0,0,0,0,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0,0.002979991,0,0,0,0,0,0,0,0,0,0,0.000212857,0.000212857,0
ADLEJAMA DELSANTO PICOLA - PICOLA,50,0,0,0,0,0,0,0,0,0,0,0,0.051936994,0,0,0,0,0,0,0,0,0,0,0,0.002979991,0.002979991,0,0,0,0,0,0,0,0,0,0,0.002979991,0.002979991,0,0,0.008088548,0.007875692,0,0,0,0,0,0,0.000212857,0.000212857,0
