column,Row Order,PICSTON SHOTTLE,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,O-BEE MANFRED JUSTICE,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,DIXIE-LEE AARON -ET,HA-HO CUBBY MANFRED-ET,LONG-LANGS OMAN OMAN,SHOREMAR JAMES,MAUGHLIN STORM,JOCKO BESN,NORRIELAKE CLEITUS LUKE TWIN,SINGING-BROOK N-B MASCOT ET,MARA-THON BW MARSHALL,ELITE GOLD BULLION-IMP-ET,BURLANE TENNYSON,OUT-JOCK CHOICE AMEL,DELLKA JUROR GORDON - TW,OSDEL-ENDEAVOR BOVA CUBBY,KED JUROR ET,SHEN-VAL NV LM FORMATION-ET,A MARK CJ GILBROOK GRAND ET,BRABANT STAR PATRON,Q250 BESNE BUCK,JARDIN,HANOVERHILL STARBUCK,ROTHROCK TRADITION LEADMAN,AG-HIGH SIGHTS BS INGOT-ET,MAIZEFIELD BELLWOOD - (E_T_),BIS-MAY S-E-L MOUNTAIN ET,JENNY-LOU MRSHL TOYSTORY,GIBBON,CARLIN-M IVANHOE BELL,BIS-MAY TRADITION CLEITUS,LYLEHAVEN AMBITION ET,MJR BLACKSTAR EMORY-ET,EMERALD-ACRES-SA TONIC ET,HOW-EL-ACRES K BELLMAN ET,LEKKER VALIANT ROYALTY,EXRANCO THOR,HANOVER HILL INSPIRATION,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
TOPSPEED GOLDYN-ET - GOLDCREST,25,0,0,0,0,0.142849219,0,0,0,0,0.123809524,0.147617829,0,0,0.088092343,0,0,0,0,0,0,0,0,0.032141105,0,0,0,0,0,0,0,0.099998476,0,0,0,0,0,0,0,0,0.0190464,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,26,0,0.276189562,0,0,0,0.0761856,0,0,0,0,0,0.111904305,0,0,0,0,0,0,0,0,0,0.105951086,0,0,0.026189105,0,0,0,0,0,0,0,0.007142705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,27,0,0,0.202372571,0.119047619,0.145230324,0,0,0.045237029,0,0,0,0,0,0,0,0,0,0,0,0.011904305,0,0,0,0,0,0,0.0214272,0,0,0,0,0,0,0,0,0.014285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,28,0,0,0,0,0.142849219,0,0,0,0,0.123809524,0.147617829,0,0,0.088092343,0,0,0,0,0,0,0,0,0.032141105,0,0,0,0,0,0,0,0,0,0.01071421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,29,0,0,0.202372571,0.119047619,0,0,0,0.045237029,0,0,0,0,0,0,0.147618438,0,0,0.021428419,0,0.011904305,0,0,0,0,0,0,0,0,0,0.0345216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-HIDDENHILLS PLAN 1023 - 7HO10690,30,0,0,0.202372571,0.119047619,0,0,0,0.045237029,0,0,0,0,0,0,0,0,0,0.024999924,0,0.011904305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,31,0,0,0.205944076,0.176190476,0,0,0,0.059522743,0,0,0,0,0,0,0,0,0,0,0,0.01547581,0,0,0,0,0,0,0,0.044045714,0,0,0,0,0,0.0249984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,32,0,0,0,0,0,0,0,0,0,0,0,0.126190019,0,0,0,0.152380952,0,0,0,0,0,0,0,0,0.02976061,0,0.0214272,0,0.038095238,0,0,0,0.01071421,0,0,0,0,0,0.009523505,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,33,0,0.276189562,0,0,0,0.0761856,0,0,0,0,0,0,0,0,0,0,0,0.024999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,34,0,0,0,0,0.142849219,0,0,0,0,0.123809524,0.147617829,0,0,0,0,0,0,0,0,0,0,0,0.032141105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
