column,Row Order,O-BEE MANFRED JUSTICE,MAUGHLIN STORM,JOCKO BESN,HA-HO CUBBY MANFRED-ET,Q250 BESNE BUCK,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,BASAR,GIBBON,CARENDA FABULON-ET,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,BRAEDALE GOLDWYN,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,SHOREMAR PERFECT STAR (ET),A MARK CJ GILBROOK GRAND ET,ROUMARE,JARDIN,BELT,OSDEL-ENDEAVOR BOVA CUBBY,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,MARA-THON BW MARSHALL,FATAL,JENNY-LOU MRSHL TOYSTORY,BADGER-BLUFF FANNY FREDDIE,REGANCREST ELTON DURHAM,WALKWAY CHIEF MARK,SKALSUMER SUNNY BOY,REGANCREST RBK DIE-HARD,PIROLO GOLDW_ WYMAN,KOLHORNER SUNSHINE,CHARLESDALE SUPERSTITION,COYNE-FARMS DORCY,DE-KA-ACRES MOUNT EARL,DE-SU OBSERVER,EMERALD-ACR-SA T-BAXTER,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,GENERVATIONS EPIC,MOUNTFIELD SSI DCY MOGUL,RAMOS,RIDGE-STAR JAMMER,ROSE-BAUM TABOO,SANDY-VALLEY BOLTON,SEAGULL-BAY SUPERSIRE,STARTMORE RUDOLPH,VA-EARLY-DAWN SUDAN CRI-ET
ADLEJAMA PICOLA FAROUK - LJCOOL,15,0.207446809,0,0,0,0,0,0.324468085,0.319148936,0,0.29787234,0,0,0.106382979,0.106382979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04787234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,16,0.207446809,0.632978723,0,0.207446809,0,0,0,0,0,0,0,0,0.106382979,0.106382979,0,0,0.111702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,17,0,0,0,0,0,0.329787234,0,0,0,0,0.5,0,0.106382979,0.106382979,0.164893617,0,0,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,18,0,0,0,0,0,0.164893617,0.324468085,0.319148936,0,0.29787234,0,0,0.106382979,0.106382979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,19,0.414893617,0,0,0.207446809,0,0.164893617,0,0,0,0,0,0.377659574,0,0,0,0,0,0,0,0,0.127659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,20,0.207446809,0.632978723,0,0,0,0,0,0,0,0,0,0,0.106382979,0.106382979,0,0,0.111702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,21,0,0,0,0,0,0,0.324468085,0.319148936,0,0.29787234,0,0,0.106382979,0.106382979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,22,0.414893617,0,0,0.207446809,0,0,0,0,0,0,0,0.377659574,0,0,0,0,0,0,0,0,0.127659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,23,0.207446809,0,0,0.207446809,0,0.164893617,0,0,0,0,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0.090425532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,24,0.414893617,0,0,0.207446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090425532,0,0.090425532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
