column,Row Order,KAARMONA VALERIAN,CLAYDON PARK FLOWER POWER,ROYALS GREEN ELMO,MASON BOOMER SOONER BERRETTA,JUDDS ADMIRAL,LIGHTWOOD LUCRATIVE,ROCK ELLA PERIMITER,FYN LEMVIG,PANNOO ABE VANAHLEM,COMFORT ROYAL ALF (E_T_),WINDY WILLOW MONTANA JACE,CAIRNBRAE JACES ELTON,TINOPAI WAIUKU GR,J_ S_ QUICKSILVER ROYAL,AHLEM LEMVIG ABE,RICHIES JACE TBONE A364,ALL LYNNS LOUIE VALENTINO,KONUI GLEN ELMOS BOWIE,ROCKMAPLE BROOK MONTANA,HIGHLAND DUNCAN LESTER,OKURA MANHATTEN-ET SJ3,ABERDEEN VALERIAN SANDOWN-ET,NOWELL SANDBLAST,DARAWAY FLOWERPOWER NAVARA,OKURA LIKA MURMUR S3J,PANNOO BRAX,BHF-SSF PARADE LOUIE,COLNARCO NAVARIAN,ROCK ELLA PARAMOUNT-ET,BW PARADE-ET,ISDK Q IMPULS,MOLLY BROOK BRASS MAJOR,MITCHELLS LIKABULL SJ3,BROADLIN HATMAN,DUNCANS PRINCE MALCOLM,PARKWOOD CASPER,SOLDIERBOY BOOMER SOONER OF CJF,PANNOO VLINE,BEULAH TARANAK BADGER,BUTTERCREST GALVANIZE,Jersey Herd Bull / Unknown Bull,SKE IDE,BROADLIN 2499 VALERIAN,SILVER FALLS QUICK FAME,ROCKY HILL SKY LINE,HIGHLAND MAGIC DUNCAN,LAWMUIR ELTON,BANCREST LESTER AVERY,SCHULTZ BROOK HALLMARK,SWEET GRASS LESTER GRAYSON
BROADLIN LEVI - LEVIGENES,12,0.984375,0.33886675,0,0.214513417,0.29328775,0,0.26692675,0.208331833,0.395833333,0.1663375,0,0,0,0,0.1015625,0,0,0,0,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005859,0,0,0,0,0
ARALUEN PARK SEVILLE - SEVILLA,13,0.984375,0.33886675,0,0.214513417,0.29328775,0,0.26692675,0.208331833,0.395833333,0.1663375,0,0,0,0,0.1015625,0,0,0,0,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005859,0,0,0,0,0
PANNOO VLINE - CRVLINE,14,0.984375,0,0,0.214513417,0.29328775,0,0.26692675,0,0,0.167314083,0.263671833,0.479166667,0,0.124016083,0,0,0,0,0.065754583,0,0,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
KAARAMONA GRIFFIN - GRIFF,15,0.984375,0.338215667,0,0.214513417,0.29328775,0,0.26692675,0.20735525,0.380208333,0,0,0,0,0,0.09765625,0,0,0,0,0,0,0,0,0.057291667,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK SEAHORSE - SEAHORSE,16,0.984375,0.337890167,0,0.214513417,0.29328775,0,0.26692675,0.20735525,0,0,0.259765583,0,0,0,0,0.130208333,0,0,0.064778,0,0,0,0,0.057291667,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLNARCO VANMUR - VANMUR,17,0.984375,0,0,0.214513417,0.29361325,0,0.26692675,0,0,0,0,0,0.210607583,0.124016083,0,0,0,0,0,0,0,0,0,0,0.46875,0,0,0,0,0,0,0,0.194335917,0,0,0.146484,0,0,0,0,0,0,0,0.0485025,0,0,0,0,0,0
DALBORA BRAX 5097 BROWNLOW - BROWNLOW,18,0,0.337890167,0.563149167,0,0,0.774739583,0,0.20768075,0.380208333,0,0.259765583,0,0,0,0.09765625,0.130208333,0,0,0.064778,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN VELCRO ET - VELCRO,19,0.984375,0,0,0.214513417,0.29328775,0,0.26692675,0,0,0.167314083,0.263671833,0.479166667,0,0.124016083,0,0,0,0,0.065754583,0,0,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE STAR GAVIN - CRVGAVIN,20,0,0.33886675,0.56445125,0.214513417,0,0.778645833,0,0.20735525,0,0.1663375,0,0,0.210607583,0,0,0,0,0,0,0,0.238606667,0,0,0.061197917,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROOKBORA TBONE BORAT - BORAT,21,0,0,0.56412575,0.214513417,0,0.778645833,0,0.208331833,0,0,0.263671833,0,0.210607583,0,0,0.145833333,0,0,0.065754583,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0.018228167,0,0,0.0139965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
