column,Row Order,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,BRAEDALE GOLDWYN,SHOREMAR JAMES,BASAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,GIBBON,JOCKO BESN,MANNA FARM DEL SANTO,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,ROUMARE,ADLEJAMA DELSANTO PICOLA,LONG-LANGS OMAN OMAN,PICSTON SHOTTLE,EMPRISE BELL ELTON,SHOREMAR PERFECT STAR (ET),OUT-JOCK CHOICE AMEL,CAROL PRELUDE MTOTO ET,MADAWASKA AEROSTAR,END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,DIXIE-LEE AARON -ET,BELT,EMERALD-ACRES-SA TONIC ET,TO-MAR BLACKSTAR ET,REGANCREST ELTON DURHAM,ELITE GOLD BULLION-IMP-ET,JARDIN,AG-HIGH SIGHTS BS INGOT-ET,FUSTEAD EMORY BLITZ,RALMA GOLD CROWN,ROYLANE SOCRA ROBUST,STARTMORE RUDOLPH,VELVET-VIEW-KJ SOCRATES,ETAZON ADDISON,PIROLO GOLDW_ WYMAN,BUSHLEA PERFECTOR BOLD-ET,GLENN-ANN PALERMO,VEAZLAND MARION,SEAGULL-BAY SUPERSIRE,KAARMONA ATLEY,MAPLE-DOWNS-I G W ATWOOD,AMIGHETTI NUMERO UNO,GRAN-J OMAN MCCORMICK,SCHILLVIEW OMAN GERARD
PURNIM PICOLA BIOCARD 4TH-ET - BIOCARD,14,0,0.275362319,0.275362319,0,0.543478261,0.355072464,0.355072464,0.492753623,0.492753623,0,0,0,0.224637681,0,0,0,0.115942029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0.043478261,0,0,0,0,0,0,0
DILEE BUDDHA OLLIE 751 - OTTMAR,15,0,0.275362319,0.275362319,0,0.543478261,0.355072464,0.355072464,0,0,0.514492754,0.5,0,0,0,0.224637681,0,0,0,0,0,0,0.065217391,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028985507,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,16,0,0.275362319,0.275362319,0,0.543478261,0.355072464,0.355072464,0.492753623,0.492753623,0,0,0,0.224637681,0,0,0,0.115942029,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARRAMONT NUMBERONE DUDE - ASHMARK,17,0.5,0,0,0.398550725,0,0,0,0,0,0,0.5,0.52173913,0,0.282608696,0,0.391304348,0,0.101449275,0.065217391,0,0,0,0.086956522,0,0,0,0.079710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007246377,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,18,0.5,0,0,0.398550725,0,0.355072464,0.355072464,0,0,0.514492754,0,0,0,0,0.224637681,0,0,0,0,0.15942029,0,0,0,0.275362319,0,0.130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,19,0.5,0.275362319,0.275362319,0,0,0.355072464,0.355072464,0,0,0.514492754,0,0,0,0,0.224637681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028985507,0,0.02173913,0,0.02173913,0,0,0,0,0,0.014492754,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,20,0.5,0,0,0.398550725,0,0.355072464,0.355072464,0,0,0.514492754,0,0,0,0,0.224637681,0,0,0.101449275,0,0,0,0,0,0,0,0,0.079710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,21,0.5,0,0,0.398550725,0,0.355072464,0.355072464,0,0,0.514492754,0,0,0,0,0.224637681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,22,1,0.275362319,0.275362319,0.398550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101449275,0.065217391,0.15942029,0,0,0,0,0,0.130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,23,1,0.275362319,0.275362319,0.398550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15942029,0,0,0,0,0,0.130434783,0,0,0,0,0,0,0,0,0.028985507,0,0.02173913,0,0.02173913,0,0,0,0,0,0.014492754,0,0,0,0,0
