column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,LONG-LANGS OMAN OMAN,CARENDA FABULON-ET,SHOREMAR JAMES,JOCKO BESN,ROSE-BAUM TABOO,HA-HO CUBBY MANFRED-ET,BASAR,BUNDALONG MARKS MEDALLION,ROUMARE,MANNA FARM DEL SANTO,GIBBON,MAUGHLIN STORM,Q250 BESNE BUCK,CAROL PRELUDE MTOTO ET,ETAZON KNOCK OUT,GLENN-ANN PALERMO,JARDIN,A MARK CJ GILBROOK GRAND ET,FATAL,DIXIE-LEE AARON -ET,SANDY-VALLEY BOLTON,EMPRISE BELL ELTON,MADAWASKA AEROSTAR,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,STARTMORE RUDOLPH,OSDEL-ENDEAVOR BOVA CUBBY,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,WALKWAY CHIEF MARK,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,END-ROAD PVF BOLIVER,FUSTEAD EMORY BLITZ,LARS-ACRES SHOT TRIGGER,MR CHASSITY GOLD CHIP,RAMOS,REGANCREST ALTAIOTA,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE
LARCREST CALUMET-ET - 29HO18101,41,0,0,0.217570717,0.179244981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,42,0,0,0.217570717,0.179244981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,43,0,0,0.217570717,0.179244981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,44,0,0,0.217570717,0.179244981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,45,0,0,0.226415094,0,0,0,0,0,0,0.056602868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010612528,0.010612528,0.014739623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,46,0,0,0.226415094,0,0,0,0,0,0,0.056602868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010612528,0.010612528,0.014739623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,47,0,0,0.219339623,0,0,0,0,0,0,0.054833962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,48,0,0,0.219339623,0,0,0,0,0,0,0.054833962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,49,0,0,0.217570717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010613132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,50,0,0,0,0.179244981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
