column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,HILL VALLEY BASAR ACME,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,JENNY-LOU MRSHL TOYSTORY,MARA-THON BW MARSHALL,MAUGHLIN STORM,SHOREMAR JAMES,JOCKO BESN,BASAR,CARENDA FABULON-ET,COYNE-FARMS DORCY,ELITE GOLD BULLION-IMP-ET,LONG-LANGS OMAN OMAN,ROSE-BAUM TABOO,LUNCREST MILLARD,ROUMARE,EMPRISE BELL ELTON,MADAWASKA AEROSTAR,REGANCREST ELTON DURHAM,GRAN-J OMAN MCCORMICK,SANDY-VALLEY BOLTON,GIBBON,A RONNYBROOK PRELUDE ET,Q250 BESNE BUCK,AG-HIGH SIGHTS BS INGOT-ET,TO-MAR BLACKSTAR ET,A MARK CJ GILBROOK GRAND ET,DIXIE-LEE AARON -ET,OSDEL-ENDEAVOR BOVA CUBBY,SHOREMAR PERFECT STAR (ET),CHARLESDALE SUPERSTITION,ETAZON ADDISON,REGANCREST ALTAIOTA,OUT-JOCK CHOICE AMEL,STRATHAIRE SOUTHWIND LUKE-ET,END-ROAD PVF BOLIVER,HOW-EL-ACRES K BELLMAN ET,BELT,FATAL,END-ROAD BLACKSTAR MAJIC-ET,SCHILLVIEW OMAN GERARD,WALKWAY CHIEF MARK,RICH-RO MARK SAM -ET,NORRIELAKE CLEITUS LUKE TWIN,STARTMORE RUDOLPH,BARBEE-M JUROR ITO
CARENDA FOLKLAW 339 - FOLKLAW,38,0,0,0,0.136882146,0,0,0,0,0,0.115017504,0.049429542,0.082223341,0,0.038022818,0,0,0,0,0,0.066539932,0,0,0,0,0,0.024238725,0,0.021861965,0,0,0.01188137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,39,0,0.286596902,0,0.131178723,0,0.047528523,0,0,0,0,0.048003656,0,0,0,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,40,0,0.294201465,0,0,0,0.047528523,0.076995051,0,0,0,0,0,0,0,0,0,0,0.011881857,0,0,0.063209255,0,0,0,0,0,0,0,0,0,0,0,0.014732899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VERMOUTH 394 - VERMOUTH,41,0,0,0.244771802,0,0,0.047528523,0,0,0,0,0,0.082223341,0.060836144,0.036596932,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0.021861965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA REACTOR 352 - REACTOR,42,0,0,0.244771802,0,0,0.047528523,0,0,0,0,0,0.082223341,0.060836144,0.036596932,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0.021861965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,43,0,0,0.250475224,0,0,0.053231946,0,0,0,0,0,0,0.06226203,0.038022818,0,0,0,0.013307743,0,0,0,0,0,0,0,0.023763471,0,0,0,0,0,0,0,0.032793312,0,0,0,0.003802038,0,0,0,0.014257766,0,0.002376274,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,44,0,0.286596902,0,0,0,0,0,0,0,0,0,0,0,0,0.12357416,0,0,0,0,0,0,0,0,0,0.070817469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,45,0,0.288498043,0,0,0,0.047528523,0.075569165,0,0,0,0,0,0,0,0,0,0.038022818,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011406602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DILEE BUDDHA OLLIE 751 - OTTMAR,46,0,0,0,0.136882146,0,0.053231946,0,0,0,0.115017504,0.049429542,0,0,0.038022818,0,0,0,0.013307743,0,0,0,0,0,0,0,0.023763471,0,0,0,0,0.01188137,0,0,0,0,0,0,0.003802038,0,0,0,0,0,0.002376274,0,0,0,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,47,0,0.288022788,0,0,0,0.049429664,0.075569165,0,0,0,0,0,0,0,0,0,0,0.012357112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA ATLEY PINNACLE-ET - THETOP,48,0,0,0,0.131178723,0,0.053231946,0,0,0,0,0.048003656,0,0,0,0,0,0,0.013307743,0,0,0,0,0.096007555,0,0,0,0,0,0,0,0,0,0,0,0,0.061311642,0,0.003802038,0,0,0,0,0,0.002376274,0,0,0,0,0,0
HILL VALLEY SS NARDOO - NARDOO,49,0,0.286596902,0,0,0,0.055133087,0,0,0,0,0,0,0,0,0,0,0,0.013782998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003802038,0,0,0,0,0,0.002376274,0,0,0,0,0,0
RENGAW KMA JUMPON - JUMPON,50,0,0,0,0,0,0.053231946,0,0,0,0,0,0.080797455,0,0,0,0,0,0.013307743,0,0.060836509,0,0,0,0,0,0.023763471,0,0,0,0,0,0,0,0,0,0,0,0.003802038,0.035645693,0,0,0,0,0.002376274,0,0,0,0,0,0
