column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,CAROL PRELUDE MTOTO ET,HA-HO CUBBY MANFRED-ET,MADAWASKA AEROSTAR,ELITE GOLD BULLION-IMP-ET,A RONNYBROOK PRELUDE ET,EMPRISE BELL ELTON,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,JENNY-LOU MRSHL TOYSTORY,MARA-THON BW MARSHALL,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,HILL VALLEY BASAR ACME,JOCKO BESN,ELITE MOUNTAIN DONOR IMP (E_T),AG-HIGH SIGHTS BS INGOT-ET,ROUMARE,OSDEL-ENDEAVOR BOVA CUBBY,ROSE-BAUM TABOO,GIBBON,KED JUROR ET,CARENDA FABULON-ET,MAIZEFIELD BELLWOOD - (E_T_),HANOVERHILL STARBUCK,BUSHLEA WAVES FABULON,BIS-MAY S-E-L MOUNTAIN ET,Q250 BESNE BUCK,BASAR,DIXIE-LEE AARON -ET,BIS-MAY TRADITION CLEITUS,ETAZON KNOCK OUT,A MARK CJ GILBROOK GRAND ET,DELLKA JUROR GORDON - TW,OUT-JOCK CHOICE AMEL,HOW-EL-ACRES K BELLMAN ET,NORRIELAKE CLEITUS LUKE TWIN,BRABANT STAR PATRON,END-ROAD BLACKSTAR MAJIC-ET,BELT,LEKKER VALIANT ROYALTY,ROTHROCK TRADITION LEADMAN,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY
GALLRAE TENNYSON YJ - YJ,15,0,0.287308195,0.24453703,0.075312684,0,0,0.061364193,0.061828112,0,0,0,0,0,0,0,0,0,0,0,0.01441098,0,0,0.215247223,0,0,0,0,0,0,0,0,0,0,0,0.070664813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,16,0,0,0,0,0.090186511,0,0,0,0.15620643,0,0,0,0.113899064,0,0,0,0.382612326,0,0,0,0,0,0,0,0,0,0,0.134353477,0,0,0,0,0,0.013016488,0,0,0,0,0,0,0,0.02324435,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,17,0,0,0,0,0,0.482565875,0,0,0,0,0,0,0,0,0,0.086005534,0,0.119013708,0.087401217,0,0,0.024638961,0,0,0,0.025103355,0,0,0.022779003,0,0,0,0,0,0,0,0.030217286,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,18,0,0.287308195,0.250115831,0.075312684,0.089721641,0,0.062758923,0.061828112,0,0,0,0,0,0,0,0,0,0,0,0.01441098,0,0,0,0,0,0.025103355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,19,0,0,0,0,0,0.476987074,0,0,0,0,0,0,0,0,0,0.080426733,0,0.117618978,0.065086012,0,0,0.025103831,0,0.042770808,0,0,0.074384014,0,0.021384273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,20,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0,0.05206881,0,0.252905291,0,0,0,0,0,0,0,0.01441098,0.013016964,0,0,0,0.062295005,0,0,0,0,0,0,0,0,0,0,0.003718963,0,0,0,0.002324352,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,21,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0.133891225,0,0,0,0.112504334,0.059507211,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0.012552094,0,0,0.011621758,0,0,0,0.006508423,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,22,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0.133891225,0,0,0,0.112504334,0.059507211,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0.012552094,0,0,0.011621758,0,0,0,0.006508423,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,23,0,0.309623399,0,0.080891485,0,0,0,0.063687712,0,0,0,0.258484092,0,0,0,0,0,0,0,0.01580571,0,0,0,0,0.063689735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINTERSELL MILO - CBWINTERSELL,24,0,0.309623399,0,0.080891485,0,0,0,0.063222842,0.133891225,0,0,0,0.112504334,0,0,0,0,0,0,0.01580571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011621758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,25,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0,0,0,0,0,0.059507211,0,0.080426733,0,0,0.065086012,0.01441098,0,0.023244231,0,0,0,0,0,0,0.021384273,0,0.012552094,0,0,0,0,0,0,0.006508423,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,26,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0,0,0,0,0,0.059507211,0,0.080426733,0,0,0.065086012,0.01441098,0,0.023244231,0,0,0,0,0,0,0.021384273,0,0.012552094,0,0,0,0,0,0,0.006508423,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267317461,0,0,0,0,0,0,0.024638961,0,0.042770808,0,0.025103355,0,0,0,0.066480385,0,0,0,0,0,0,0,0,0,0,0.015340959,0,0,0,0,0,0,0,0,0
B-HIDDENHILLS PLAN 1023 - 7HO10690,28,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0,0.074384014,0,0,0,0,0,0,0,0,0,0.01441098,0.018595765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005113693,0,0,0,0.003719082,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,29,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0,0,0,0,0,0,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0,0,0.079962696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSHLEA PERFECTOR BOLD-ET - BUDDHA,30,0,0,0,0,0.090186511,0,0,0,0.15620643,0,0,0,0.113899064,0,0,0,0,0,0,0,0,0.024638961,0,0.042770808,0,0,0,0,0,0,0,0,0,0.013016488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,31,0,0.287308195,0,0.075312684,0.091116371,0,0,0.061828112,0,0,0,0,0,0,0,0,0,0,0,0.01441098,0,0,0,0,0,0.025103355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,32,0,0,0.250115831,0,0.089721641,0,0.062758923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025103355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006043433,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,33,0,0,0.24453703,0,0,0,0.061364193,0,0,0.074384014,0,0,0,0,0,0,0,0,0,0,0.018595765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005113693,0,0,0,0.003719082,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,34,0,0.287308195,0,0.075312684,0,0,0,0.061828112,0,0,0,0,0,0.059507211,0,0,0,0,0,0.01441098,0,0,0,0,0,0,0,0,0,0,0.012552094,0,0,0,0,0,0,0.006508423,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,35,0,0.281729394,0,0.073917954,0.089721641,0,0.061364193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,36,0,0.281729394,0,0.073917954,0.089721641,0,0.061364193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,37,0,0,0.24453703,0,0,0,0.061364193,0,0,0,0,0,0,0,0,0.080426733,0,0,0.065086012,0,0,0.023244231,0,0,0,0,0,0,0.021384273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,38,0,0.281729394,0,0.073917954,0,0,0.061364193,0,0,0.05206881,0,0,0,0,0,0,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003718963,0,0,0,0.002324352,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,39,0,0.281729394,0,0.073917954,0,0,0.061364193,0,0,0.05206881,0,0,0,0,0,0,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003718963,0,0,0,0.002324352,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,40,0,0.281729394,0,0.073917954,0,0,0.061364193,0,0,0.05206881,0,0,0,0,0,0,0,0,0,0,0.013016964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003718963,0,0,0,0.002324352,0,0,0,0,0,0,0,0,0,0
