column,Row Order,HILL VALLEY BASAR ACME,BASAR,O-BEE MANFRED JUSTICE,SHOREMAR JAMES,BRAEDALE GOLDWYN,CARENDA FABULON-ET,GIBBON,JOCKO BESN,Q250 BESNE BUCK,MAUGHLIN STORM,HA-HO CUBBY MANFRED-ET,ROUMARE,A MARK CJ GILBROOK GRAND ET,ENSENADA TABOO PLANET ET,MADAWASKA AEROSTAR,ETAZON KNOCK OUT,PICSTON SHOTTLE,ROSE-BAUM TABOO,LONG-LANGS OMAN OMAN,BUNDALONG MARKS MEDALLION,MANNA FARM DEL SANTO,DIXIE-LEE AARON -ET,EMPRISE BELL ELTON,WALKWAY CHIEF MARK,FATAL,OSDEL-ENDEAVOR BOVA CUBBY,ADLEJAMA DELSANTO PICOLA,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,CAROL PRELUDE MTOTO ET,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE,HINDLEE GOLDWYN OMANROYAL 121003,REGANCREST ALTAIOTA,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,END-ROAD PVF BOLIVER,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,JARDIN,LARS-ACRES SHOT TRIGGER,MR CHASSITY GOLD CHIP,RAMOS,SANDY-VALLEY BOLTON,STARTMORE RUDOLPH
EDG ABS JERICHO-ET - 29HO18110,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019543974,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019543974,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019543974,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019543974,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019543974,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019543974,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019543974,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019543974,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
