column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,CARENDA FABULON-ET,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,BUSHLEA WAVES FABULON,LONG-LANGS OMAN OMAN,PICSTON SHOTTLE,JOCKO BESN,GIBBON,ROUMARE,HILL VALLEY BASAR ACME,ELITE MOUNTAIN DONOR IMP (E_T),CAROL PRELUDE MTOTO ET,ROSE-BAUM TABOO,BUSHLEA PERFECTOR BOLD-ET,MAUGHLIN STORM,EMPRISE BELL ELTON,MANNA FARM DEL SANTO,ELITE GOLD BULLION-IMP-ET,Q250 BESNE BUCK,HINDLEE MOM  R DALLAS 11910,MADAWASKA AEROSTAR,BASAR,RENGAW MANOMAN WRANGLER-ET,OSDEL-ENDEAVOR BOVA CUBBY,ETAZON KNOCK OUT,BIS-MAY S-E-L MOUNTAIN ET,A MARK CJ GILBROOK GRAND ET,JARDIN,A RONNYBROOK PRELUDE ET,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,DIXIE-LEE AARON -ET,BIS-MAY TRADITION CLEITUS,HANOVERHILL STARBUCK,AG-HIGH SIGHTS BS INGOT-ET,BELT,LEKKER VALIANT ROYALTY,ROTHROCK TRADITION LEADMAN,LYLEHAVEN AMBITION ET,MJR BLACKSTAR EMORY-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
DELTA G-FORCE - CRVGFORCE,24,0.30936412,0,0,0,0.078175037,0,0.214046823,0,0,0,0,0,0,0,0,0,0,0.025082007,0,0,0,0,0,0,0,0.011286903,0,0,0,0,0,0,0,0.013377177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,25,0.30936412,0,0,0.160535117,0.078175037,0,0,0,0,0,0,0,0,0,0.040133137,0,0,0.025082007,0,0,0,0,0,0,0,0.011286903,0,0,0,0,0,0.007524602,0.007524602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,26,0.30936412,0,0,0,0.078175037,0,0,0,0,0,0,0,0,0.04514911,0,0,0,0.025082007,0,0,0,0,0.015885271,0,0,0.011286903,0,0,0,0,0.008360883,0,0,0,0,0.011286903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,27,0.304347398,0,0,0.160535117,0.076920829,0,0,0,0,0,0,0,0,0,0.040133137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007106676,0.007524602,0.007524602,0,0,0,0,0,0,0,0,0.004598368,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,28,0.304347398,0,0,0.160535117,0.076920829,0,0,0,0,0,0,0,0,0,0.040133137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007106676,0.007524602,0.007524602,0,0,0,0,0,0,0,0,0.004598368,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,29,0.304347398,0,0,0.160535117,0.076920829,0,0,0,0,0,0,0,0,0,0.040133137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007106676,0.007524602,0.007524602,0,0,0,0,0,0,0,0,0.004598368,0,0,0,0,0,0,0,0
DELTA ALONSO - CRVALONSO,30,0.304347398,0,0,0,0.076920829,0,0,0.133361017,0,0,0,0,0,0.040132388,0,0,0,0,0,0,0,0,0.016303304,0,0,0,0,0,0,0,0.007106676,0,0,0,0,0,0,0,0,0,0.006270716,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,31,0.30936412,0,0,0,0.078175037,0,0,0,0,0,0,0,0,0.040132388,0,0,0,0.025082007,0,0,0,0,0,0,0,0.011286903,0,0,0,0,0.007106676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,32,0,0,0,0.180602007,0,0,0,0.133361017,0,0,0,0,0,0.040132388,0.04514986,0,0,0,0,0,0,0,0.015885271,0,0,0,0,0,0,0,0.007106676,0.008778809,0.008778809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,33,0,0,0,0.180602007,0,0,0,0.133361017,0,0,0,0,0,0.040132388,0.04514986,0,0,0,0,0,0,0,0.015885271,0,0,0,0,0,0,0,0.007106676,0.008778809,0.008778809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,34,0.32943101,0,0,0,0.083191759,0,0,0,0,0,0,0,0,0,0,0,0,0.026336214,0,0,0,0,0,0,0,0.01254111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007942635,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,35,0.30936412,0,0,0,0.078175037,0,0,0,0,0,0,0,0,0,0,0,0,0.025082007,0,0,0,0,0.017139478,0,0,0.011286903,0,0,0,0,0,0,0,0,0,0.011286903,0,0,0,0,0.007524923,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,36,0.32943101,0,0,0,0.083191759,0,0,0,0,0,0,0,0,0,0,0,0,0.026754247,0,0,0,0,0,0,0,0.01254111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,37,0.304347398,0,0,0,0.076920829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015885271,0,0,0,0,0,0,0,0.007106676,0,0,0,0,0,0,0,0,0,0.006270716,0.004598368,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,38,0.304347398,0,0,0,0.076920829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015885271,0,0,0,0,0,0,0,0.007106676,0,0,0,0,0,0,0,0,0,0.006270716,0.004598368,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,39,0,0,0,0.160535117,0,0,0,0.135033258,0,0,0,0,0,0.040550421,0.040133137,0,0,0,0,0,0,0,0.015885271,0,0,0,0,0,0,0,0.007106676,0.007524602,0.007524602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,40,0,0,0,0.20735786,0,0,0,0,0,0,0,0,0,0,0.065216749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013795532,0.013795532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
