column,Row Order,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,BRAEDALE GOLDWYN,ROSE-BAUM TABOO,SHOREMAR JAMES,HILL VALLEY BASAR ACME,BASAR,MAUGHLIN STORM,JOCKO BESN,CARENDA FABULON-ET,Q250 BESNE BUCK,GIBBON,A MARK CJ GILBROOK GRAND ET,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,MANNA FARM DEL SANTO,EMPRISE BELL ELTON,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,LONG-LANGS OMAN OMAN,ROUMARE,A RONNYBROOK PRELUDE ET,OSDEL-ENDEAVOR BOVA CUBBY,SANDY-VALLEY BOLTON,FUSTEAD EMORY BLITZ,ADLEJAMA DELSANTO PICOLA,DIXIE-LEE AARON -ET,MARA-THON BW MARSHALL,DE-SU OBSERVER,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,WALKWAY CHIEF MARK,STARTMORE RUDOLPH,ETAZON KNOCK OUT,SEAGULL-BAY SUPERSIRE,AMIGHETTI NUMERO UNO,BUNDALONG MARKS MEDALLION,FLEVO GENETICS SNOWMAN,FATAL,COUNTRY ROAD ROUMARE CANBEE,HINDLEE GOLDWYN OMANROYAL 121003,GLENN-ANN PALERMO,RICH-RO MARK SAM -ET,EMERALD-ACRES-SA TONIC ET,END-ROAD BEACON,REGANCREST ALTAIOTA,DELTA PARAMOUNT,MR CHASSITY GOLD CHIP
DE SU 11949 PENALTY - 29HO17732,14,0,0.154054054,0,0.32972973,0.382432432,0.154054054,0.382432432,0,0,0,0,0,0,0,0,0.314864865,0.181081081,0,0,0,0,0,0,0.189189189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,15,0.5,0.154054054,0.487837838,0.164864865,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0.181081081,0,0,0.075675676,0.075675676,0,0,0,0,0,0,0,0,0.097297297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA JOSUPER JO-ET - GILES,16,0.5,0.154054054,0.487837838,0.164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306756757,0,0,0,0,0,0.137837838,0,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0.004054054,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,17,0.5,0.154054054,0.487837838,0.164864865,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0.181081081,0,0,0,0,0.032432432,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0
ABS MYSTICAL - 29HO17876,18,1,0.154054054,0,0.32972973,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0
BRONTE PARK CASHCOIN ROWDY-ET - ROWLING,19,0.5,0.154054054,0,0,0.382432432,0.154054054,0.382432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,20,0.5,0.154054054,0,0,0.382432432,0.154054054,0.382432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW KINGBOY 9970-ET - GHOSTLY,21,0.5,0.154054054,0.487837838,0.164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMIRE OVERSIDE MACARENA - CBMACARENA,22,0.5,0.154054054,0.487837838,0,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,23,0.5,0.154054054,0,0.164864865,0.382432432,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAIN-KNOLL DONA BAYONET-ET - 7HO12236,24,0.5,0.308108108,0,0.164864865,0,0.308108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051351351,0,0,0,0,0.010810811,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG VEKIS BOSS - AIBLOOPER,25,0.5,0.154054054,0,0.164864865,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0.181081081,0,0,0,0,0.032432432,0,0,0,0,0,0,0,0.097297297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004054054,0,0,0
FARNEAR-TBR-BH FLAMER-ET - FLAMER,26,0,0.308108108,0,0.164864865,0,0.308108108,0,0,0,0,0,0,0,0,0,0,0.181081081,0,0,0.075675676,0.075675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,27,0.5,0.154054054,0,0.164864865,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0.028378378,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0
ABS JERRICK-ET - 29HO18059,28,0.5,0,0.487837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028378378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,29,0,0.462162162,0,0.164864865,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075675676,0.075675676,0,0,0,0,0,0,0,0,0,0.036486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,30,0.5,0.154054054,0,0.164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0.028378378,0,0,0,0,0.036486486,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW REDMAW KB 9975-ET - KINGTUT,31,0,0.308108108,0,0.164864865,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075675676,0.075675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE BLUEBELL - 29HO18199,32,0.5,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028378378,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0.010810811,0,0,0.014864865,0,0,0,0,0,0,0,0,0,0
MR SEAGULL-BAY SANDAL-ET - 29HO18161,33,0.5,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028378378,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0,0,0,0.014864865,0,0,0,0,0,0,0,0,0,0
COGENT PEAK ALEX - CBPEAKALEX,34,0.5,0,0,0.164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0
WILDER HAMLET - 29HO17334,35,0.5,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0,0.013513514,0,0
SEAGULL-BAY TRUE PP - 7HO12814,36,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0.028378378,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,37,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028378378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014864865,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY FIVESTAR-ET - 29HO18233,38,0,0.154054054,0,0.32972973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,39,0,0.154054054,0,0,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075675676,0.075675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,40,0,0.154054054,0,0,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075675676,0.075675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDG ABS JERICHO-ET - 29HO18110,41,0,0.154054054,0,0.164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028378378,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0.004054054,0,0,0
ABS MACINTOSH-ET - 29HO17989,42,0,0.154054054,0,0.164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0.004054054,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,43,0,0.154054054,0,0.164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0.010810811,0,0,0,0,0,0,0,0,0,0.004054054,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,44,0,0.154054054,0,0.164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,45,0,0.154054054,0,0.164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,46,0,0.154054054,0,0.164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0.010810811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,47,0,0.154054054,0,0,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,48,0,0.154054054,0,0,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,49,0,0.154054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028378378,0,0,0,0,0.036486486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,50,0,0,0,0.164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
