column,Row Order,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,PICSTON SHOTTLE,BRAEDALE GOLDWYN,MANNA FARM DEL SANTO,HILL VALLEY BASAR ACME,ROSE-BAUM TABOO,JOCKO BESN,SHOREMAR JAMES,LONG-LANGS OMAN OMAN,ADLEJAMA DELSANTO PICOLA,HA-HO CUBBY MANFRED-ET,DE-SU OBSERVER,CARENDA FABULON-ET,BASAR,SEAGULL-BAY SUPERSIRE,SANDY-VALLEY BOLTON,CAROL PRELUDE MTOTO ET,ROUMARE,AMIGHETTI NUMERO UNO,Q250 BESNE BUCK,MAUGHLIN STORM,BUNDALONG MARKS MEDALLION,ROYLANE SOCRA ROBUST,HINDLEE GOLDWYN OMANROYAL 121003,COUNTRY ROAD ROUMARE CANBEE,GLENN-ANN PALERMO,GIBBON,A MARK CJ GILBROOK GRAND ET,END-ROAD BEACON,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,A RONNYBROOK PRELUDE ET,FLEVO GENETICS SNOWMAN,VELVET-VIEW-KJ SOCRATES,STARTMORE RUDOLPH,REGANCREST ALTAIOTA,FUSTEAD EMORY BLITZ,MARA-THON BW MARSHALL,MR CHASSITY GOLD CHIP,DELTA PARAMOUNT,DIXIE-LEE AARON -ET,ETAZON KNOCK OUT,OSDEL-ENDEAVOR BOVA CUBBY,WALKWAY CHIEF MARK,RICH-RO MARK SAM -ET,FATAL,EMERALD-ACRES-SA TONIC ET
RENGAW CAPGAIN JELLY-ET - JELLY,29,0,0.205269595,0.251531817,0,0,0,0.051265961,0,0,0,0,0,0.176879085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011335529,0.011335529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE BLUEBELL - 29HO18199,30,0.327409961,0.20353349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053921569,0.049121725,0,0,0,0,0,0,0.013480392,0,0,0,0,0,0,0,0,0,0,0,0.018382353,0.003370092,0,0,0,0,0,0,0,0,0,0,0,0,0
WILDER HAMLET - 29HO17334,31,0.327409961,0.20353349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053921569,0,0,0,0,0,0,0,0.013480392,0,0,0,0,0,0,0,0,0,0,0,0,0.003370092,0,0.04125817,0,0,0,0,0,0,0,0,0,0,0
MR SEAGULL-BAY SANDAL-ET - 29HO18161,32,0.327409961,0.20353349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049121725,0,0,0,0,0,0,0.013480392,0,0,0,0,0,0,0,0,0,0,0,0.018382353,0.003370092,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH FLAMER-ET - FLAMER,33,0,0.205473856,0.251838196,0,0,0,0.051368078,0,0,0,0,0,0,0,0,0,0,0.068014379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011335529,0.011335529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDG ABS JERICHO-ET - 29HO18110,34,0,0.20353349,0.251531817,0,0,0,0,0,0,0,0,0,0,0,0,0.053921569,0.049121725,0,0,0,0,0,0,0.013480392,0,0,0,0,0,0.02001634,0,0,0,0,0,0,0.003370092,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY FIVESTAR-ET - 29HO18233,35,0,0.20353349,0.251633935,0,0,0,0,0,0,0.088337412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013480392,0,0,0,0,0,0,0,0,0,0,0,0,0.003370092,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,36,0,0.20353349,0.251531817,0,0,0,0,0,0,0,0,0,0,0,0,0.053921569,0,0,0,0,0,0,0,0.013480392,0,0,0,0,0,0.02001634,0,0,0,0,0,0,0.003370092,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,37,0,0.20353349,0.251531817,0,0,0,0,0,0,0,0,0,0,0,0,0.053921569,0,0,0,0,0,0,0,0.013480392,0,0,0,0,0,0.02001634,0,0,0,0,0,0,0.003370092,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW REDMAW KB 9975-ET - KINGTUT,38,0,0.205167477,0.251531817,0,0,0,0.051265961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011335529,0.011335529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY TRUE PP - 7HO12814,39,0.327409961,0,0,0,0,0,0,0,0,0.088643791,0,0,0,0,0,0,0.049121725,0,0,0,0,0,0,0.013480392,0,0,0,0,0,0,0,0,0,0,0,0,0.003370092,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,40,0,0.20353349,0.251531817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013480392,0,0,0,0,0,0,0,0,0,0,0,0,0.003370092,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,41,0,0.20353349,0.251531817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013480392,0,0,0,0,0,0,0,0,0,0,0,0,0.003370092,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,42,0,0.20353349,0.251531817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013480392,0,0,0,0,0,0,0,0,0,0,0,0,0.003370092,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS JERRICK-ET - 29HO18059,43,0.32771634,0,0,0,0,0,0,0,0,0,0,0.084148627,0,0,0,0,0.049121725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,44,0,0.20353349,0,0,0,0,0,0,0,0,0,0,0.176879085,0,0,0,0.049121725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,45,0.327409961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049121725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018382353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,46,0,0.205065359,0,0,0,0,0.051265961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011335529,0.011335529,0,0,0,0.014093072,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,47,0,0.205065359,0,0,0,0,0.051265961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011335529,0.011335529,0,0,0,0.014093072,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,48,0,0.203839869,0,0,0,0,0.050959582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,49,0,0.203839869,0,0,0,0,0.050959582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,50,0,0,0.251531817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
