column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,PICSTON SHOTTLE,OSDEL-ENDEAVOR BOVA CUBBY,MAUGHLIN STORM,GIBBON,HANOVERHILL STARBUCK,BRAEDALE GOLDWYN,SHOREMAR JAMES,JOCKO BESN,Q250 BESNE BUCK,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,OUT-JOCK CHOICE AMEL,CARENDA FABULON-ET,A MARK CJ GILBROOK GRAND ET,ELITE MOUNTAIN DONOR IMP (E_T),BIS-MAY S-E-L MOUNTAIN ET,END-ROAD BLACKSTAR MAJIC-ET,BASAR,NORRIELAKE CLEITUS LUKE TWIN,ELITE GOLD BULLION-IMP-ET,HILL VALLEY BASAR ACME,BIS-MAY TRADITION CLEITUS,AG-HIGH SIGHTS BS INGOT-ET,BELT,ROTHROCK TRADITION LEADMAN,MARA-THON BW MARSHALL,EMERALD-ACRES-SA TONIC ET,LEKKER VALIANT ROYALTY,KED JUROR ET,BUSHLEA WAVES FABULON,JARDIN,LANCELOT,MASCOL,BUSHLEA PERFECTOR BOLD-ET,MANNA FARM DEL SANTO,ADLEJAMA DELSANTO PICOLA,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
PETHERTON DENSITY - 0200HO02700,15,0.563218391,0.477011494,0,0,0.310344828,0,0,0.149425287,0.494252874,0,0,0.235632184,0.235632184,0,0,0,0,0,0,0.183908046,0,0,0,0,0.097701149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,16,0.563218391,0.477011494,0,0,0.310344828,0,0,0.149425287,0.494252874,0,0,0.235632184,0.235632184,0,0,0,0,0,0,0.183908046,0,0,0,0,0.097701149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINTERSELL MILO - CBWINTERSELL,17,0.563218391,0.477011494,0,0,0.310344828,0,0,0.149425287,0.494252874,0,0,0.235632184,0.235632184,0,0,0,0,0,0,0.183908046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,18,0,0,0.436781609,0.804597701,0,0.25862069,0.770114943,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,19,0,0,0,0,0,0,0,0,0,0.224137931,0.270114943,0,0,0.264367816,0.24137931,0,0,0,0,0,0,0,0,0,0,0.25862069,0,0,0.195402299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,20,0,0,0,0,0,0,0,0,0,0.448275862,0,0,0,0.264367816,0.24137931,0,0,0,0.252873563,0,0,0,0,0,0,0.25862069,0,0,0.195402299,0,0,0,0,0,0,0.068965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-HIDDENHILLS PLAN 1023 - 7HO10690,21,0.563218391,0.477011494,0,0,0.310344828,0,0,0.149425287,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JET STAR MANOMAN TRICKIN - TRICKIN,22,0.563218391,0.477011494,0,0,0.310344828,0,0,0.149425287,0,0.224137931,0,0,0,0.264367816,0.24137931,0,0,0,0,0,0,0,0,0,0.097701149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE MOM  R DALLAS 11910 - JAYR,23,0.563218391,0.477011494,0,0,0.310344828,0,0,0.149425287,0,0.224137931,0,0,0,0.264367816,0.24137931,0,0,0,0,0,0,0,0,0,0.097701149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,24,0,0,0.436781609,0.402298851,0,0.25862069,0.385057471,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
