column,Row Order,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,HA-HO CUBBY MANFRED-ET,ENSENADA TABOO PLANET ET,BRAEDALE GOLDWYN,ROSE-BAUM TABOO,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,BASAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,MADAWASKA AEROSTAR,JOCKO BESN,Q250 BESNE BUCK,CARENDA FABULON-ET,A MARK CJ GILBROOK GRAND ET,GIBBON,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,OUT-JOCK CHOICE AMEL,SANDY-VALLEY BOLTON,END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,MARA-THON BW MARSHALL,STARTMORE RUDOLPH,END-ROAD PVF BOLIVER,EMERALD-ACRES-SA TONIC ET,ADLEJAMA DELSANTO PICOLA,MANNA FARM DEL SANTO,ETAZON KNOCK OUT,WALKWAY CHIEF MARK,JARDIN,BUNDALONG MARKS MEDALLION,FATAL,ROUMARE,REGANCREST ALTAIOTA,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE,BADGER-BLUFF FANNY FREDDIE,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,LARS-ACRES SHOT TRIGGER,LONG-LANGS OMAN OMAN,RAMOS
RENGAW CAPGAIN JELLY-ET - JELLY,31,0,0.341836735,0,0.244897959,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076530612,0,0.051020408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY FIVESTAR-ET - 29HO18233,32,0,0.683673469,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW REDMAW KB 9975-ET - KINGTUT,33,0,0.341836735,0,0.163265306,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076530612,0,0.051020408,0,0,0,0.025510204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR SEAGULL-BAY SANDAL-ET - 29HO18161,34,0.5,0,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE BLUEBELL - 29HO18199,35,0.5,0,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILDER HAMLET - 29HO17334,36,0.5,0,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025510204,0,0,0,0,0,0,0,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,37,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY TRUE PP - 7HO12814,38,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDG ABS JERICHO-ET - 29HO18110,39,0,0.341836735,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,40,0,0.341836735,0,0.081632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
