column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,BRAEDALE GOLDWYN,HILL VALLEY BASAR ACME,JOCKO BESN,ADLEJAMA DELSANTO PICOLA,HA-HO CUBBY MANFRED-ET,SANDY-VALLEY BOLTON,SHOREMAR JAMES,BASAR,CAROL PRELUDE MTOTO ET,ROSE-BAUM TABOO,MAUGHLIN STORM,JARDIN,CARENDA FABULON-ET,BUNDALONG MARKS MEDALLION,Q250 BESNE BUCK,MANNA FARM DEL SANTO,END-ROAD PVF BOLIVER,MADAWASKA AEROSTAR,GIBBON,MARA-THON BW MARSHALL,OUT-JOCK CHOICE AMEL,A MARK CJ GILBROOK GRAND ET,A RONNYBROOK PRELUDE ET,EMPRISE BELL ELTON,ROUMARE,STARTMORE RUDOLPH,EMERALD-ACRES-SA TONIC ET,ETAZON KNOCK OUT,END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,REGANCREST ALTAIOTA,UFM-DUBS ALTAESQUIRE,WALKWAY CHIEF MARK,FATAL,RICH-RO MARK SAM -ET,BADGER-BLUFF FANNY FREDDIE,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,FUSTEAD EMORY BLITZ,GLENN-ANN PALERMO,LARS-ACRES SHOT TRIGGER,LONG-LANGS OMAN OMAN,RAMOS
RENGAW KINGBOY 9970-ET - GHOSTLY,16,0.93537752,0.726176436,0.202628641,0,0,0,0,0.177432968,0,0,0,0,0,0,0,0,0,0,0,0.075574963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,17,0.93537752,0.722890495,0.205914582,0,0,0,0,0,0.198247479,0,0,0,0.051478155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,18,0.93537752,0.722890495,0.202628641,0,0,0,0,0,0.198247479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,19,0,0.722890495,0.205914582,0.617743745,0,0,0,0,0,0.154435305,0,0,0.051478155,0.269437916,0,0,0,0,0,0,0,0,0,0,0.036142268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,20,0,0.722890495,0.205914582,0.617743745,0,0,0,0,0,0.154435305,0,0,0.051478155,0.269437916,0,0,0,0,0,0,0,0,0,0,0.036142268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,21,0,0.726176436,0,0.617743745,0,0,0,0.177432968,0,0.154435305,0,0,0,0.269437916,0,0,0,0,0,0,0,0,0,0,0.036142268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAIN-KNOLL DONA BAYONET-ET - 7HO12236,22,0.93537752,0.722890495,0.210295743,0,0,0,0,0,0,0,0,0,0.052573375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MYSTICAL - 29HO17876,23,0.93647274,0.723985716,0.205914582,0,0,0,0,0,0,0,0,0,0.051478155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRONTE PARK CASHCOIN ROWDY-ET - ROWLING,24,0,0.722890495,0.205914582,0.604600261,0,0,0,0,0,0.151149364,0,0,0.051478155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,25,0,0.722890495,0.205914582,0.604600261,0,0,0,0,0,0.151149364,0,0,0.051478155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT PEAK ALEX - CBPEAKALEX,26,0.93537752,0.722890495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS HONDA-ET - MINOTAUR,27,0,0.722890495,0.205914582,0,0,0.442496732,0,0,0,0,0,0,0.051478155,0,0,0,0,0.116099233,0,0,0,0.070096338,0,0,0,0,0,0.030668129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH FLAMER-ET - FLAMER,28,0.938663461,0,0.223439227,0,0,0,0,0,0,0,0,0.251914392,0.055859316,0,0,0,0,0,0,0,0,0,0,0.030667288,0,0,0,0,0,0,0,0.012047423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDG ABS JERICHO-ET - 29HO18110,29,0.93537752,0,0.202628641,0,0,0,0,0,0.198247479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW REDMAW KB 9975-ET - KINGTUT,30,0.93537752,0,0.220153286,0,0,0,0,0,0,0,0,0,0.054764096,0,0,0,0,0,0,0.075574963,0,0,0,0.030667288,0,0,0,0,0,0,0,0.012047423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,31,0.93537752,0,0.221248506,0,0,0,0,0,0,0,0,0,0.054764096,0,0,0,0,0,0,0,0,0,0,0.030667288,0,0,0,0,0,0,0,0.012047423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMIRE OVERSIDE MACARENA - CBMACARENA,32,0,0.726176436,0.205914582,0,0,0,0,0.177432968,0,0,0,0,0.051478155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY FIVESTAR-ET - 29HO18233,33,0.93647274,0,0.202628641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,34,0.93537752,0,0.202628641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,35,0.93537752,0,0.202628641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,36,0.93537752,0,0.202628641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,37,0.93537752,0,0.202628641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,38,0.93537752,0,0.202628641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR SEAGULL-BAY SANDAL-ET - 29HO18161,39,0,0.722890495,0.202628641,0,0,0,0,0,0.198247479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE BLUEBELL - 29HO18199,40,0,0.722890495,0.202628641,0,0,0,0,0,0.198247479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS JERRICK-ET - 29HO18059,41,0,0.726176436,0,0,0,0,0,0.177432968,0.198247479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILDER HAMLET - 29HO17334,42,0,0.722890495,0.202628641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075574963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039430452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,43,0.93537752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075574963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,44,0,0.722890495,0,0,0,0,0,0,0.198247479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY TRUE PP - 7HO12814,45,0,0.722890495,0,0,0,0,0,0,0.198247479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,46,0,0,0.202628641,0,0,0,0,0,0.198247479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,47,0,0,0.219058066,0,0,0,0,0,0,0,0,0,0.054764096,0,0,0,0,0,0,0,0,0,0,0.030667288,0,0,0,0,0.030667568,0,0,0.012047423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,48,0,0,0.219058066,0,0,0,0,0,0,0,0,0,0.054764096,0,0,0,0,0,0,0,0,0,0,0.030667288,0,0,0,0,0.030667568,0,0,0.012047423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,49,0,0,0.205914582,0,0,0,0,0,0,0,0,0,0.051478155,0,0,0,0,0,0,0.075574963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,50,0,0,0.205914582,0,0,0,0,0,0,0,0,0,0.051478155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
