column,Row Order,J_ S_ QUICKSILVER ROYAL,JUDDS ADMIRAL,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,COMFORT ROYAL ALF (E_T_),ROYALS GREEN ELMO,FYN LEMVIG,SOLDIERBOY BOOMER SOONER OF CJF,HIGHLAND DUNCAN LESTER,ROCK ELLA PERIMITER,CLAYDON PARK FLOWER POWER,KAARMONA VALERIAN,LAWMUIR ELTON,HIGHLAND MAGIC DUNCAN,WINDY WILLOW MONTANA JACE,ROCKMAPLE BROOK MONTANA,OKURA MANHATTEN-ET SJ3,PARKWOOD CASPER,MOLLY BROOK BRASS MAJOR,DUNCANS PRINCE MALCOLM,LIGHTWOOD LUCRATIVE,SKE HEDE,SKE IDE,BW PARADE-ET,ISDK Q IMPULS,ROCK ELLA PARAMOUNT-ET,DARAWAY FLOWERPOWER NAVARA,KONUI GLEN ELMOS BOWIE,S_S_ QUICKSILVER OF FALLNEVA,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,VAN DER FITS FJORD GR,CAIRNBRAE JACES ELTON,TAWA GROVE MAUNGA ET S3J,BAYLEA PENNYS CARLOS SJ3,AHLEM LEMVIG ABE,LIGHTWOOD LEDA,WILLIAMS MINSTREL,NOAKES NEVVY SJ2,WILLIAMS ROBS NORMAN,MITCHELLS LIKABULL SJ3,SILVER FALLS QUICK FAME,ALL LYNNS LOUIE VALENTINO,BHF-SSF PARADE LOUIE,NOWELL TARSAN,RICHIES JACE TBONE A364,OKURA LIKA MURMUR S3J,PANNOO ABE VANAHLEM,WHITE STAR GREG,ABERDEEN VALERIAN SANDOWN-ET
DARAWAY FLOWERPOWER NAVARA - CSCNAVARA,14,0.784140969,0,0.360132159,0.3469163,0.27753304,0.292951542,0,0.146475771,0,0,0.1530837,0,0.11784141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017621145,0,0.007709251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLNARCO NAVARIAN - NAVARIAN,15,0.392070485,0.5,0.360132159,0,0.27753304,0.292951542,0,0.146475771,0,0.131057269,0.1530837,0.120044053,0,0.06277533,0,0,0,0,0,0,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIVERSIDE AMBITION - CSCAMBITION,16,0.392070485,0,0.720264317,0.3469163,0.27753304,0.292951542,0,0.146475771,0,0,0.1530837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARALUEN PARK PEMBROKE - PEMBROKE,17,0.392070485,0,0.360132159,0.3469163,0,0.292951542,0.194933921,0.146475771,0.172907489,0,0,0,0.11784141,0.06277533,0,0,0,0,0,0,0.061674009,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KONUI GLEN ELMOS BOWIE - AMBKONUI,18,0.784140969,0.5,0,0.3469163,0,0.292951542,0,0,0,0,0,0,0.11784141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066079295,0.015418502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN 2499 VALERIAN - ABERIAN,19,0.392070485,0.5,0.360132159,0,0,0,0.194933921,0.146475771,0.172907489,0.131057269,0,0.120044053,0,0.06277533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025330396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLACEDALE MELVARA - CSCMELVARA,20,0.392070485,0,0.360132159,0.3469163,0.27753304,0.292951542,0,0,0,0,0.1530837,0,0,0,0.081497797,0.079295154,0,0,0.053964758,0.046255507,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOWELL TARSAN - TAILBOARD,21,0.784140969,0.5,0,0.3469163,0,0.292951542,0,0,0,0,0,0,0.11784141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015418502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034140969,0,0,0,0,0
OKURA LIKA MURMUR S3J - BOSMURMUR,22,0.784140969,0.5,0,0.3469163,0,0,0,0,0,0,0,0,0.235682819,0,0,0,0,0.093612335,0,0,0,0,0,0,0,0,0,0,0.007709251,0,0,0,0,0,0,0,0,0,0,0,0.04185022,0.040748899,0,0,0,0,0.025330396,0,0,0
PANNOO VLINE - CRVLINE,23,0.392070485,0.5,0.360132159,0,0.27753304,0,0,0,0,0.131057269,0,0.120044053,0,0,0.081497797,0.079295154,0,0,0.053964758,0.046255507,0,0,0,0,0,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
