column,Row Order,KAARMONA VALERIAN,ROYALS GREEN ELMO,JUDDS ADMIRAL,MASON BOOMER SOONER BERRETTA,LIGHTWOOD LUCRATIVE,TINOPAI WAIUKU GR,J_ S_ QUICKSILVER ROYAL,FYN LEMVIG,CLAYDON PARK FLOWER POWER,ROCK ELLA PERIMITER,COMFORT ROYAL ALF (E_T_),WINDY WILLOW MONTANA JACE,OKURA MANHATTEN-ET SJ3,CAIRNBRAE JACES ELTON,HIGHLAND DUNCAN LESTER,SOLDIERBOY BOOMER SOONER OF CJF,ISDK Q IMPULS,KONUI GLEN ELMOS BOWIE,PARKWOOD CASPER,TAWA GROVE MAUNGA ET S3J,ROCKMAPLE BROOK MONTANA,ALL LYNNS LOUIE VALENTINO,DARAWAY FLOWERPOWER NAVARA,RICHIES JACE TBONE A364,LAWMUIR ELTON,OKURA LIKA MURMUR S3J,NOWELL TARSAN,HIGHLAND MAGIC DUNCAN,NOAKES NEVVY SJ2,PANNOO ABE VANAHLEM,WHITE STAR GREG,WILLIAMS MINSTREL,SKE IDE,AHLEM LEMVIG ABE,MITCHELLS LIKABULL SJ3,ABERDEEN VALERIAN SANDOWN-ET,VAN DER FITS FJORD GR,MOLLY BROOK BRASS MAJOR,ROCK ELLA PARAMOUNT-ET,BHF-SSF PARADE LOUIE,BW PARADE-ET,LIGHTWOOD LEDA,DUNCANS PRINCE MALCOLM,WILLIAMS ROBS NORMAN,SKE HEDE,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,BAYLEA PENNYS CARLOS SJ3,SILVER FALLS QUICK FAME,S_S_ QUICKSILVER OF FALLNEVA
ABERDEEN VALERIAN ROUNDHILL-ET - ROUNDHILL,14,0.979487179,0,0.287173169,0.209290174,0,0,0.121467159,0,0.336217518,0.265384287,0.163778544,0,0,0,0,0.046792205,0,0,0,0,0,0,0,0,0,0,0,0.020511672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADLIN 2499 VALERIAN - ABERIAN,15,0.979487179,0,0.287173169,0.208969682,0,0,0.121146667,0.205126728,0,0.265384287,0,0,0,0,0.066022728,0.046792205,0,0,0,0,0,0,0,0,0,0,0,0.020511672,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOROKA CALLAHAN - CALLAHAN,16,0.979487179,0,0.287173169,0.210251733,0,0,0.121146667,0,0,0.265384287,0.162816985,0,0,0,0,0.047112697,0,0,0,0,0,0,0,0,0,0,0,0.020511672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144551221,0,0,0,0,0,0,0,0
ARALUEN PARK PEMBROKE - PEMBROKE,17,0,0.549036636,0,0.208969682,0.761538462,0.204162379,0.121146667,0.208972882,0,0,0,0,0,0,0.066984287,0.046792205,0,0,0,0,0,0,0,0,0.034613169,0,0,0.020511672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009294277,0,0,0,0,0
CAL-MART NAVARA BLADE - 29JE3678,18,0,0.545190482,0,0.208008123,0,0.203200821,0.121146667,0,0.336217518,0,0.163778544,0,0,0,0,0,0.26025641,0,0,0,0,0,0.075641026,0,0,0,0,0,0,0,0,0,0.066666338,0,0,0,0,0,0,0,0,0,0,0,0,0.015384205,0.015063713,0,0,0
WALLACEDALE MELVARA - CSCMELVARA,19,0,0.545190482,0,0.208008123,0,0.203200821,0.121146667,0,0.336217518,0,0.163778544,0.259615344,0,0,0,0,0,0,0,0,0.064742974,0,0.075641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017947733,0,0,0,0,0.013781169,0,0,0,0,0,0,0
KAARMONA VALERIAN - VALERIAN,20,1,0,0.291019323,0.212815836,0,0,0.122108226,0,0,0.280768903,0,0,0,0,0,0.047753764,0,0,0,0,0,0,0,0,0,0,0,0.021473231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002563938
LIGHTWOOD LUCRATIVE - LARFALOT,21,0,0.564421251,0,0.212815836,0.782051282,0.208008533,0.122108226,0,0,0,0,0,0,0,0,0.047753764,0,0,0,0,0,0,0,0,0.035574728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002563938
ALMERVISTA BOND - ALMERBOND,22,0,0.544228923,0,0,0,0,0,0.205126728,0.332371364,0,0.162816985,0.259615344,0,0,0.066022728,0,0,0,0,0,0.064742974,0,0.06025641,0.143589744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017947733,0,0,0,0,0.013781169,0,0,0,0,0,0,0
DARAWAY FLOWERPOWER NAVARA - CSCNAVARA,23,0,0.549036636,0,0.208969682,0,0.204162379,0.122428718,0,0.351602133,0,0.167624697,0,0,0,0,0.046792205,0,0,0,0,0,0,0.096153846,0,0.034613169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002563938
