column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,SHOREMAR JAMES,HA-HO CUBBY MANFRED-ET,MAUGHLIN STORM,BASAR,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,MADAWASKA AEROSTAR,JOCKO BESN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,CARENDA FABULON-ET,ENSENADA TABOO PLANET ET,GIBBON,CAROL PRELUDE MTOTO ET,STARTMORE RUDOLPH,ROSE-BAUM TABOO,FATAL,ROUMARE,FUSTEAD EMORY BLITZ,ETAZON KNOCK OUT,A RONNYBROOK PRELUDE ET,EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,MARA-THON BW MARSHALL,GLENN-ANN PALERMO,BUNDALONG MARKS MEDALLION,OUT-JOCK CHOICE AMEL,WALKWAY CHIEF MARK,LONG-LANGS OMAN OMAN,END-ROAD BLACKSTAR MAJIC-ET,REGANCREST ALTAIOTA,DIXIE-LEE AARON -ET,END-ROAD PVF BOLIVER,EMERALD-ACRES-SA TONIC ET,JARDIN,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,RAMOS,SANDY-VALLEY BOLTON
BRONTE PARK CASHCOIN ROWDY-ET - ROWLING,15,0.286713287,0.454545455,0.451048951,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,16,0.286713287,0.454545455,0.451048951,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUW ROCKY - CRVBOUWROCKY,17,0.286713287,0,0,0.325174825,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0.076923077,0,0.013986014,0,0,0,0,0,0,0,0.062937063,0,0,0.01048951,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA JOSUPER JO-ET - GILES,18,0.286713287,0,0,0.325174825,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0.094405594,0.06993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,19,0.286713287,0.454545455,0,0,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,20,0.286713287,0,0,0.325174825,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0.076923077,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MYSTICAL - 29HO17876,21,0.573426573,0,0,0,0,0,0.160839161,0,0,0,0,0,0,0.013986014,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW KINGBOY 9970-ET - GHOSTLY,22,0.286713287,0,0,0.325174825,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0.003496503,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMIRE OVERSIDE MACARENA - CBMACARENA,23,0.286713287,0,0,0.325174825,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS JERRICK-ET - 29HO18059,24,0.286713287,0,0,0.325174825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
