column,Row Order,BRAEDALE GOLDWYN,O-BEE MANFRED JUSTICE,HILL VALLEY BASAR ACME,PICSTON SHOTTLE,SHOREMAR JAMES,JOCKO BESN,BASAR,MAUGHLIN STORM,GLENN-ANN PALERMO,ENSENADA TABOO PLANET ET,BUNDALONG MARKS MEDALLION,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,ROUMARE,Q250 BESNE BUCK,CAROL PRELUDE MTOTO ET,REGANCREST ALTAIOTA,A MARK CJ GILBROOK GRAND ET,MADAWASKA AEROSTAR,STARTMORE RUDOLPH,GIBBON,LONG-LANGS OMAN OMAN,ROSE-BAUM TABOO,FUSTEAD EMORY BLITZ,FATAL,ETAZON KNOCK OUT,END-ROAD PVF BOLIVER,EMPRISE BELL ELTON,MARA-THON BW MARSHALL,A RONNYBROOK PRELUDE ET,OUT-JOCK CHOICE AMEL,OSDEL-ENDEAVOR BOVA CUBBY,JARDIN,UFM-DUBS ALTAESQUIRE,WALKWAY CHIEF MARK,END-ROAD BLACKSTAR MAJIC-ET,DIXIE-LEE AARON -ET,EMERALD-ACRES-SA TONIC ET,RICH-RO MARK SAM -ET,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,RAMOS,SANDY-VALLEY BOLTON
BOUW ROCKY - CRVBOUWROCKY,18,0,0.239086984,0,0.16517854,0,0,0,0,0,0.027777778,0,0.07638654,0,0,0,0.04117054,0,0,0,0,0,0,0.006944381,0,0,0,0,0,0.019840889,0,0.003472127,0,0,0,0,0.001488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,19,0,0.239086984,0,0.16517854,0,0,0,0,0,0.021825397,0,0.07638654,0,0,0,0.04117054,0,0,0,0,0,0.015873016,0.005456254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000992,0,0,0,0,0,0,0,0,0,0,0,0,0
WILARA JOSUPER JO-ET - GILES,20,0,0.245039365,0,0.163690413,0,0,0,0,0,0.02033727,0,0.077874667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021328635,0,0,0,0.010416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW KINGBOY 9970-ET - GHOSTLY,21,0,0.239086984,0,0.163690413,0,0,0,0,0,0.02033727,0,0.07638654,0,0,0,0,0,0,0,0,0,0.015873016,0,0,0,0,0.008432508,0,0,0,0,0,0,0,0,0,0.000992,0,0,0,0,0,0,0,0,0,0,0,0,0
WILDER HAMLET - 29HO17334,22,0,0.237598857,0,0,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0.240079365,0,0,0,0,0,0,0,0,0,0.008432508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG VEKIS BOSS - AIBLOOPER,23,0,0.237598857,0,0.16517854,0,0,0,0,0,0.021825397,0,0,0,0,0,0.04117054,0,0,0,0,0,0.009920635,0.005456254,0,0,0,0,0,0.019840889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAIN-KNOLL DONA BAYONET-ET - 7HO12236,24,0,0.237598857,0,0.163690413,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0.005952254,0.038194413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MYSTICAL - 29HO17876,25,0,0.238094857,0,0.164186413,0,0,0,0,0,0.021825397,0,0,0,0,0,0,0,0,0,0,0,0.009920635,0.005456254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,26,0,0.237598857,0,0.163690413,0,0,0,0,0,0.021825397,0,0,0,0,0,0,0,0,0,0,0,0.009920635,0.005456254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,27,0,0.237598857,0,0.163690413,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0,0,0,0,0,0.009920635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT PEAK ALEX - CBPEAKALEX,28,0,0.237598857,0,0.163690413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009920635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMIRE OVERSIDE MACARENA - CBMACARENA,29,0,0.239086984,0,0,0,0,0,0,0,0.021825397,0,0.07638654,0,0,0,0,0,0,0,0,0,0.015873016,0.005456254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000992,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS JERRICK-ET - 29HO18059,30,0,0.239086984,0,0,0,0,0,0,0,0,0,0.07638654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR SEAGULL-BAY SANDAL-ET - 29HO18161,31,0,0.237598857,0,0,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE BLUEBELL - 29HO18199,32,0,0.237598857,0,0,0,0,0,0,0,0.02033727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH FLAMER-ET - FLAMER,33,0,0,0,0.16517854,0,0,0,0,0,0.029761905,0,0,0,0,0,0.04117054,0,0,0,0,0,0,0.007440381,0,0,0,0,0,0,0,0.003472127,0,0,0,0,0.001488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY TRUE PP - 7HO12814,34,0,0.237598857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009920635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,35,0,0.237598857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW REDMAW KB 9975-ET - KINGTUT,36,0,0,0,0.163690413,0,0,0,0,0,0.028273778,0,0,0,0,0,0,0,0,0,0,0,0,0.006944381,0,0,0,0.008432508,0,0,0,0.003472127,0,0,0,0,0.001488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,37,0,0,0,0.163690413,0,0,0,0,0,0.028769778,0,0,0,0,0,0,0,0,0,0,0,0,0.006944381,0,0,0,0,0,0,0,0.003472127,0,0,0,0,0.001488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
