column,Row Order,O-BEE MANFRED JUSTICE,LONG-LANGS OMAN OMAN,ENSENADA TABOO PLANET ET,PICSTON SHOTTLE,BRAEDALE GOLDWYN,ROUMARE,JOCKO BESN,HA-HO CUBBY MANFRED-ET,ROSE-BAUM TABOO,JARDIN,MAUGHLIN STORM,CAROL PRELUDE MTOTO ET,SHOREMAR JAMES,ELITE GOLD BULLION-IMP-ET,DIXIE-LEE AARON -ET,Q250 BESNE BUCK,HILL VALLEY BASAR ACME,EMPRISE BELL ELTON,BASAR,SHOREMAR PERFECT STAR (ET),ROYLANE SOCRA ROBUST,OUT-JOCK CHOICE AMEL,END-ROAD PVF BOLIVER,BADGER-BLUFF FANNY FREDDIE,TO-MAR BLACKSTAR ET,CHARLESDALE SUPERSTITION,STARTMORE RUDOLPH,GIBBON,A MARK CJ GILBROOK GRAND ET,MADAWASKA AEROSTAR,AG-HIGH SIGHTS BS INGOT-ET,REGANCREST ELTON DURHAM,CARENDA FABULON-ET,OSDEL-ENDEAVOR BOVA CUBBY,END-ROAD BLACKSTAR MAJIC-ET,JENNY-LOU MRSHL TOYSTORY,REGANCREST ALTAIOTA,ETAZON ADDISON,DE-SU OBSERVER,MARA-THON BW MARSHALL,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,VELVET-VIEW-KJ SOCRATES,SANDY-VALLEY BOLTON,FUSTEAD EMORY BLITZ,HOW-EL-ACRES K BELLMAN ET,BARBEE-M JUROR ITO,FATAL,BELT,NORRIELAKE CLEITUS LUKE TWIN
ADLEJAMA PICOLA FAROUK - LJCOOL,29,0.622948459,0,0.278688525,0,0.198769836,0,0,0,0.06967082,0,0,0,0.04712918,0,0,0,0.054302689,0,0.035859934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01024577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA PICOLA 349 - VANCE,30,0.626022295,0,0.278688525,0,0,0,0,0.152656,0.06967082,0,0,0,0,0,0,0,0.054302689,0,0.035859934,0,0,0,0,0,0,0,0,0,0,0,0,0.054303213,0.01024577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,31,0.622948459,0,0.278688525,0,0.198769836,0,0,0,0.06967082,0,0,0,0.04712918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049180328,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,32,0.62704682,0,0,0,0,0,0,0.152656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033810098,0.086065574,0,0,0.098360656,0,0,0,0,0,0,0,0,0,0.06557377,0.131147541,0,0,0.028687475,0,0,0,0,0,0,0.028688,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,33,0.626022295,0,0.282786885,0,0,0,0,0.152656,0.070695344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114754098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,34,0,0,0.278688525,0.494876852,0.198769836,0,0,0,0.06967082,0,0,0.142414164,0.04712918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01024577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,35,0.626022295,0,0,0,0.211064918,0,0,0.152656,0,0,0.147536262,0,0.050203016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025613902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,36,0,0,0.278688525,0.491803016,0.198769836,0,0,0,0.06967082,0,0,0,0.04712918,0,0,0,0.054302689,0,0.035859934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01024577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,37,0.622948459,0,0.278688525,0,0,0,0,0,0.06967082,0,0,0,0,0,0,0,0,0,0,0,0.06557377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06557377,0,0,0,0.028687475,0,0,0.016393443,0,0.014343344,0,0,0,0,0
HILL VALLEY SS NARDOO - NARDOO,38,0.622948459,0,0.295081967,0,0,0,0,0,0.07376918,0,0,0,0,0,0,0,0,0,0,0,0.06557377,0.033810098,0,0,0,0,0,0,0,0,0,0,0,0,0.01331882,0,0,0,0,0,0,0,0.016393443,0,0.014343344,0,0,0,0,0
