column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,JOCKO BESN,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,PICSTON SHOTTLE,BRAEDALE GOLDWYN,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,DIXIE-LEE AARON -ET,ROUMARE,Q250 BESNE BUCK,EMPRISE BELL ELTON,GIBBON,TO-MAR BLACKSTAR ET,MADAWASKA AEROSTAR,OUT-JOCK CHOICE AMEL,HILL VALLEY BASAR ACME,BASAR,A MARK CJ GILBROOK GRAND ET,SHOREMAR PERFECT STAR (ET),END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,STARTMORE RUDOLPH,A RONNYBROOK PRELUDE ET,MARA-THON BW MARSHALL,FUSTEAD EMORY BLITZ,ETAZON ADDISON,ELITE GOLD BULLION-IMP-ET,EMERALD-ACRES-SA TONIC ET,JARDIN,AG-HIGH SIGHTS BS INGOT-ET,CARENDA FABULON-ET,END-ROAD PVF BOLIVER,REGANCREST ELTON DURHAM,HOW-EL-ACRES K BELLMAN ET,JENNY-LOU MRSHL TOYSTORY,SANDY-VALLEY BOLTON,BADGER-BLUFF FANNY FREDDIE,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,FATAL,CHARLESDALE SUPERSTITION,BELT,BARBEE-M JUROR ITO,NORRIELAKE CLEITUS LUKE TWIN,REGANCREST ALTAIOTA,DE-SU OBSERVER
BOUW ROCKY - CRVBOUWROCKY,15,0.5,0.404458599,0,0.098726115,0.098726115,0.197452229,0,0,0,0,0.248407643,0,0,0,0,0,0,0,0.073248408,0,0,0,0,0.038216561,0,0,0,0.057324841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,16,1,0.404458599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073248408,0,0,0,0,0,0,0,0,0.057324841,0,0,0,0,0,0,0,0.035031847,0,0,0.038216561,0,0,0,0,0,0.015923567,0,0.02866242,0,0.022292994,0
OURWAY PLANE JACK - PLANEJACK,17,0,0,0,0.098726115,0.098726115,0,0,0,0,0,0,0,0,0,0,0,0.936305732,0,0.073248408,0,0,0,0,0.038216561,0,0,0,0,0,0,0.178343949,0,0,0.146496815,0,0,0,0.101910828,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DELANO - DELANO,18,0,0,0.535031847,0,0,0,0,0,0,0,0,0,0.343949045,0.207006369,0,0.210191083,0,0,0,0.060509554,0.050955414,0,0.200636943,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0.01910828,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,19,0.5,0.404458599,0,0.098726115,0.098726115,0.197452229,0.136942675,0,0,0.105095541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,20,0,0,0.535031847,0.098726115,0.098726115,0,0,0,0,0,0,0,0.343949045,0.207006369,0,0.105095541,0,0,0,0.060509554,0.050955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,21,0.5,0.404458599,0,0,0,0,0.136942675,0.28343949,0,0.105095541,0,0,0,0,0,0,0,0,0,0,0,0.047770701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,22,0.5,0.404458599,0,0.098726115,0.098726115,0,0,0,0,0,0,0,0,0,0.191082803,0,0,0,0,0.060509554,0.050955414,0,0,0,0.063694268,0,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOMBOONA DAVINCI OMAN - TLGOMAN,23,0.5,0.404458599,0,0,0,0,0,0,0.200636943,0,0,0.222929936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035031847,0,0,0,0.012738854,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,24,0,0,0,0.098726115,0.098726115,0.394904459,0.136942675,0,0,0.105095541,0.248407643,0,0,0,0,0,0,0.171974522,0,0,0,0,0,0,0,0,0.092356688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
