column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,JOCKO BESN,BUSHLEA WAVES FABULON,GIBBON,ROUMARE,BUSHLEA PERFECTOR BOLD-ET,ELITE GOLD BULLION-IMP-ET,HA-HO CUBBY MANFRED-ET,MANNA FARM DEL SANTO,LONG-LANGS OMAN OMAN,BASAR,MAUGHLIN STORM,Q250 BESNE BUCK,ELITE MOUNTAIN DONOR IMP (E_T),A RONNYBROOK PRELUDE ET,MADAWASKA AEROSTAR,ENSENADA TABOO PLANET ET,HANOVERHILL STARBUCK,AG-HIGH SIGHTS BS INGOT-ET,EMPRISE BELL ELTON,ETAZON KNOCK OUT,LANCELOT,ADLEJAMA DELSANTO PICOLA,PICSTON SHOTTLE,BELT,A MARK CJ GILBROOK GRAND ET,BIS-MAY S-E-L MOUNTAIN ET,OSDEL-ENDEAVOR BOVA CUBBY,ROSE-BAUM TABOO,ROTHROCK TRADITION LEADMAN,CAROL PRELUDE MTOTO ET,LUKAS-ET,DIXIE-LEE AARON -ET,BIS-MAY TRADITION CLEITUS,HANOVER HILL INSPIRATION,HOW-EL-ACRES K BELLMAN ET,EMERALD-ACRES-SA TONIC ET,CARLIN-M IVANHOE BELL,LEKKER VALIANT ROYALTY,PETICOTE US MSC MAGLEY-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY
ROYLANE BOXER PUNCH 4311-ET - 7HO11207,15,0.093866182,0.273234233,0,0,0,0,0,0,0,0,0.023465995,0,0,0,0,0,0,0.013940463,0.015101266,0,0,0,0.006969815,0,0,0,0.008596581,0,0,0,0.003717235,0,0,0.001858736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,16,0,0,0,0,0.297164764,0,0,0,0,0,0,0,0,0,0,0.071560395,0,0.013940463,0.015101266,0,0.028111706,0,0,0,0,0,0.008596581,0,0,0,0,0,0,0.001858736,0,0,0.014636671,0,0,0.008364194,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,17,0,0.287174755,0,0,0,0,0,0,0,0,0,0,0,0,0.077368574,0,0,0,0.015333593,0,0,0,0,0,0,0,0,0,0.018818679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAIRE MINT FIRE-UP - NZGFIREUP,18,0.093866182,0,0,0,0,0,0,0,0,0,0.023465995,0,0,0,0,0,0,0,0,0,0,0,0.006969815,0.135686618,0,0,0,0,0,0,0.003717235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,19,0.093866182,0,0,0,0,0,0,0,0,0,0.023465995,0,0.059479561,0,0,0,0,0.013940463,0.015101266,0,0,0,0.006969815,0,0,0,0.008596581,0,0,0,0.003717235,0,0,0.001858736,0,0.003717294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,20,0.093866182,0,0,0,0,0,0,0,0,0,0.023465995,0,0.059479561,0,0,0,0,0.013940463,0.015101266,0,0,0,0.006969815,0,0,0,0.008596581,0,0,0,0.003717235,0,0,0.001858736,0,0.003717294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,21,0.093866182,0,0,0,0,0,0,0,0,0,0.023465995,0,0.059479561,0,0,0,0,0.013940463,0.015101266,0,0,0,0.006969815,0,0,0,0.008596581,0,0,0,0.003717235,0,0,0.001858736,0,0.003717294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,22,0.093866182,0,0,0,0,0,0,0,0,0,0.023465995,0,0,0,0,0,0,0.014637504,0.015101266,0,0.028111706,0,0.006969815,0,0,0,0,0,0,0,0.003717235,0,0,0.004646841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133829012,0,0,0,0,0,0,0,0.01672821,0,0.033457253,0,0.014868998,0.013939987,0,0.008364194,0,0,0,0,0,0,0,0,0,0
B-HIDDENHILLS PLAN 1023 - 7HO10690,24,0.093866182,0,0,0,0,0,0,0,0,0,0.023465995,0,0,0,0,0,0,0,0,0.020446099,0,0,0.006969815,0,0,0,0,0,0,0,0.003717235,0.005111436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,25,0.093866182,0,0,0,0,0,0,0,0,0,0.023465995,0,0.059479561,0,0,0,0,0,0,0,0,0,0.006969815,0,0,0,0,0,0,0,0.003717235,0,0,0,0,0.003717294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,26,0.091078078,0,0,0,0,0,0,0,0,0,0.022768954,0,0.048327143,0,0,0,0,0,0,0.009293681,0,0,0,0,0,0,0.005808477,0,0,0,0,0.002323331,0,0.001161695,0,0.003020253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,27,0.093866182,0,0,0,0,0,0,0,0,0,0.023465995,0,0,0,0,0,0,0.013940463,0,0,0,0,0.006969815,0,0,0,0,0,0,0,0.003717235,0,0,0.001858736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,28,0.093866182,0,0,0,0,0,0,0,0,0,0.023465995,0,0,0,0,0,0,0,0.015798307,0,0.028111706,0,0.006969815,0,0,0,0,0,0,0,0.003717235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,29,0.1050186,0,0,0,0,0,0,0,0,0,0.0262541,0,0,0,0,0,0,0,0,0,0,0,0.007666856,0,0,0,0,0,0,0,0.004414276,0,0.015101801,0,0,0,0,0,0,0,0.00325258,0,0,0,0,0,0,0,0,0
DELTA ALONSO - CRVALONSO,30,0.091078078,0,0,0,0,0,0,0,0,0,0.022768954,0,0,0,0,0,0,0.013940463,0.015333593,0,0,0,0,0,0,0,0.008596581,0,0,0,0,0,0,0.001858736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,31,0.1050186,0,0,0,0,0,0,0,0,0,0.0262541,0,0,0,0,0,0,0,0,0,0,0,0.007899183,0,0,0,0,0,0,0,0.004414276,0,0,0,0,0,0,0,0,0,0.00325258,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,32,0.091078078,0,0,0,0,0,0,0,0,0,0.022768954,0,0,0,0,0,0,0.013940463,0.015101266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,33,0.091078078,0,0,0,0,0,0,0,0,0,0.022768954,0,0,0,0,0,0,0.013940463,0.015101266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,34,0.093866182,0,0,0,0,0,0,0,0,0,0.023465995,0,0,0,0,0,0,0,0,0.009293681,0,0,0.006969815,0,0,0,0,0,0,0,0.003717235,0.002323331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,35,0.091078078,0,0,0,0,0,0,0,0,0,0.022768954,0,0,0,0,0,0,0.013940463,0,0.009293681,0,0,0,0,0,0,0,0,0,0,0,0.002323331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,36,0.091078078,0,0,0,0,0,0,0,0,0,0.022768954,0,0,0,0,0,0,0.013940463,0,0.009293681,0,0,0,0,0,0,0,0,0,0,0,0.002323331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,37,0.091078078,0,0,0,0,0,0,0,0,0,0.022768954,0,0,0,0,0,0,0.013940463,0,0.009293681,0,0,0,0,0,0,0,0,0,0,0,0.002323331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014637504,0.015798307,0,0.028344033,0,0,0,0,0,0.019748999,0,0,0,0,0,0,0.004646841,0,0,0,0,0.008596165,0,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014637504,0.015101266,0,0.028111706,0,0,0,0,0,0,0,0,0,0,0,0.015101801,0.004646841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035315989,0,0,0,0,0,0,0,0,0,0,0,0.016263853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013940463,0.015101266,0.020446099,0,0,0,0,0,0,0.008596581,0,0,0,0,0.005111436,0,0.001858736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013940463,0.015101266,0.020446099,0,0,0,0,0,0,0.008596581,0,0,0,0,0.005111436,0,0.001858736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013940463,0,0.020446099,0,0,0,0,0,0,0,0,0,0,0,0.005111436,0,0.001858736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013940463,0.015101266,0.009293681,0,0,0,0,0,0,0.009525949,0,0,0,0,0.002323331,0,0.002091063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009293681,0,0,0,0,0,0,0.005808477,0,0,0,0,0.002323331,0,0.001161695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009293681,0,0,0,0,0,0,0,0,0,0,0,0.002323331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009293681,0,0,0,0,0,0,0,0,0,0,0,0.002323331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00487887,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
