column,Row Order,BASAR,HILL VALLEY BASAR ACME,O-BEE MANFRED JUSTICE,CARENDA FABULON-ET,GIBBON,BRAEDALE GOLDWYN,SHOREMAR JAMES,MAUGHLIN STORM,HA-HO CUBBY MANFRED-ET,JOCKO BESN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,SHOREMAR PERFECT STAR (ET),MANNA FARM DEL SANTO,BELT,ROUMARE,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,PICSTON SHOTTLE,FATAL,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,OSDEL-ENDEAVOR BOVA CUBBY,EMERALD-ACRES-SA TONIC ET,JARDIN,CAROL PRELUDE MTOTO ET,WALKWAY CHIEF MARK,REGANCREST ELTON DURHAM,RALMA GOLD CROWN,PIROLO GOLDW_ WYMAN,A RONNYBROOK PRELUDE ET,SIR C VALOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,16,0,0,0.118644068,0,0,0.172316384,0.172316384,0.31920904,0.118644068,0,0,0.172316384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028248588,0,0,0.002824859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,17,0,0,0.118644068,0,0,0.172316384,0.172316384,0.31920904,0.118644068,0,0,0.172316384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,18,0,0,0.118644068,0,0,0.172316384,0.172316384,0.31920904,0,0,0,0.172316384,0,0,0,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,19,0,0,0.118644068,0,0,0.172316384,0.172316384,0,0.118644068,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,20,0,0,0,0,0,0.172316384,0.172316384,0,0,0,0,0,0,0,0,0,0.096045198,0,0.028248588,0,0.005649718,0.005649718,0,0,0,0.014124294,0,0,0,0,0.008474576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURNIM MILLARD BIOGOLDMILL - GOLDMILL,21,0,0,0.118644068,0,0,0,0,0,0.118644068,0,0,0,0,0,0,0,0.096045198,0.06779661,0.014124294,0,0,0,0,0,0,0.014124294,0,0.059322034,0,0,0.008474576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG LIQUIDGOLD WARRIOR - GOLDWARRIOR,22,0,0,0.237288136,0,0,0,0,0,0.118644068,0,0,0,0,0,0,0,0,0.06779661,0.014124294,0,0.005649718,0.005649718,0.031073446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,23,0,0,0.118644068,0,0,0.172316384,0.172316384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXERIN SNEAK PEEK - 0250HO01135,24,0,0,0.237288136,0,0,0,0,0,0.118644068,0,0,0,0,0,0,0,0,0.06779661,0,0,0.005649718,0.005649718,0.031073446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,25,0,0,0.237288136,0,0,0,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
