column,Row Order,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,OSDEL-ENDEAVOR BOVA CUBBY,MAUGHLIN STORM,BRAEDALE GOLDWYN,A MARK CJ GILBROOK GRAND ET,OUT-JOCK CHOICE AMEL,JOCKO BESN,GIBBON,Q250 BESNE BUCK,NORRIELAKE CLEITUS LUKE TWIN,HANOVERHILL STARBUCK,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,RAMOS,DIXIE-LEE AARON -ET,BIS-MAY S-E-L MOUNTAIN ET,BIS-MAY TRADITION CLEITUS,MARA-THON BW MARSHALL,END-ROAD BLACKSTAR MAJIC-ET,ROTHROCK TRADITION LEADMAN,ROUMARE,KED JUROR ET,ELITE GOLD BULLION-IMP-ET,AG-HIGH SIGHTS BS INGOT-ET,MAIZEFIELD BELLWOOD - (E_T_),CARLIN-M IVANHOE BELL,ELITE MOUNTAIN DONOR IMP (E_T),SHEN-VAL NV LM FORMATION-ET,HOW-EL-ACRES K BELLMAN ET,MJR BLACKSTAR EMORY-ET,LUKAS-ET,DELLKA JUROR GORDON - TW,BURLANE TENNYSON,LANCELOT,DE-SU 521 BOOKEM,JENNY-LOU MRSHL TOYSTORY,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SAVANNAHS HF HAMMER S1F
GEN-I-BEQ LAVAMAN - 0200HO06267,15,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0.329171396,0.218501703,0.173666288,0,0,0,0,0.080590238,0,0,0,0,0.056186152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,16,0.5,0.497729852,0,0.416572077,0,0,0.376844495,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,17,0.5,0.497729852,0,0.416572077,0,0,0.376844495,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINTERSELL MILO - CBWINTERSELL,18,0,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0.329171396,0.218501703,0.173666288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057888763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,19,0.5,0.497729852,0,0.416572077,0,0,0,0,0,0,0,0,0,0,0,0,0.072077185,0,0,0,0,0,0,0,0,0.052780931,0,0,0,0,0,0,0,0.053348468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,20,1,0,0,0,0,0,0,0,0.329171396,0.218501703,0.173666288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA TITANIUM - CRVTITANIUM,21,0.5,0,0.429057889,0,0.303632236,0.286038593,0,0.106696935,0,0,0,0,0,0,0,0,0.072077185,0,0,0.085130533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,22,0.5,0,0,0.416572077,0.303632236,0.286038593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085130533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019296254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,23,0.5,0,0,0.416572077,0.303632236,0.286038593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085130533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019296254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAINSTREAM MANIFOLD - HOMANIFOLD,24,0,0,0.858115778,0,0.303632236,0.286038593,0,0.106696935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093643587,0,0,0,0,0,0,0.0584563,0.057888763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
