column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,MANNA FARM DEL SANTO,JOCKO BESN,CAROL PRELUDE MTOTO ET,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,LONG-LANGS OMAN OMAN,EMPRISE BELL ELTON,BUSHLEA WAVES FABULON,A RONNYBROOK PRELUDE ET,MADAWASKA AEROSTAR,GIBBON,MAUGHLIN STORM,ELITE MOUNTAIN DONOR IMP (E_T),OSDEL-ENDEAVOR BOVA CUBBY,ADLEJAMA DELSANTO PICOLA,BASAR,END-ROAD BLACKSTAR MAJIC-ET,ELITE GOLD BULLION-IMP-ET,HANOVERHILL STARBUCK,A MARK CJ GILBROOK GRAND ET,MJR BLACKSTAR EMORY-ET,BIS-MAY S-E-L MOUNTAIN ET,MARA-THON BW MARSHALL,NORRIELAKE CLEITUS LUKE TWIN,DIXIE-LEE AARON -ET,BELT,FUSTEAD EMORY BLITZ,KED JUROR ET,ETAZON CELSIUS,AG-HIGH SIGHTS BS INGOT-ET,MAIZEFIELD BELLWOOD - (E_T_),CARLIN-M IVANHOE BELL,HOW-EL-ACRES K BELLMAN ET,ATHOL M K VULCAN,BIS-MAY TRADITION CLEITUS,D LIMBO,EMERALD-ACRES-SA TONIC ET,ETAZON JIMTOWN,FULLERTONS WARD,HANOVER HILL INSPIRATION,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LANCELOT,LLOYDS EXCELLENCY,LUKAS-ET,MCMILLANS TROPHY
AMIGHETTI NUMERO UNO - 0200HO07450,15,0.325221971,0,0,0.083499942,0,0,0.067548149,0,0,0.093699515,0.03907399,0,0.030290171,0.033318565,0,0,0,0.01433706,0,0,0,0,0,0,0,0,0,0.00757242,0.005856129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,16,0.325221971,0,0,0.083499942,0,0,0.067548149,0,0,0.093699515,0.03907399,0,0.030290171,0.033318565,0,0,0,0.01433706,0,0,0,0,0,0,0,0,0,0.00757242,0.005856129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,17,0.325221971,0,0,0.083499942,0,0,0.067548149,0,0,0.093699515,0.03907399,0,0.030290171,0.033318565,0,0,0,0.01433706,0,0,0,0,0,0,0,0,0,0.00757242,0.005856129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA ALONSO - CRVALONSO,18,0.324010339,0,0,0.083197027,0,0,0.067548149,0,0,0,0,0,0.030290171,0.033419528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-HIDDENHILLS PLAN 1023 - 7HO10690,19,0.325221971,0,0.207592892,0.083499942,0,0,0,0,0,0,0.03907399,0,0,0,0,0,0,0.01433706,0,0,0.011510255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,20,0.324010339,0,0.202746365,0.083197027,0,0,0,0,0,0,0,0,0.030290171,0,0,0,0,0,0,0,0.011207341,0,0,0,0.027261105,0,0,0,0,0,0.010298753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,21,0.324010339,0,0.202746365,0.083197027,0,0,0,0,0,0,0,0,0.030290171,0,0,0,0,0,0,0,0.011207341,0,0,0,0.027261105,0,0,0,0,0,0.010298753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,22,0.324010339,0,0.202746365,0.083197027,0,0,0,0,0,0,0,0,0.030290171,0,0,0,0,0,0,0,0.011207341,0,0,0,0.027261105,0,0,0,0,0,0.010298753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,23,0.325221971,0,0.202746365,0.083499942,0,0,0,0,0,0,0.03907399,0,0,0,0,0,0,0.01433706,0,0,0.011207341,0,0,0,0,0,0.019789751,0,0,0,0,0,0,0,0.01060146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW JARDIN JANEK - JANEK,24,0,0,0,0,0,0.267871121,0.067548149,0,0,0,0,0,0.030290171,0.033318565,0,0,0,0,0,0,0,0,0.024231548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HILL VALLEY NIELS - NIELS,25,0,0,0.207592892,0,0,0,0.067548149,0,0,0,0,0,0.030290171,0.033318565,0,0,0,0,0,0,0.011510255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,26,0,0,0.207592892,0,0,0,0.067548149,0,0,0,0,0,0.030290171,0.033318565,0,0,0,0,0,0,0.011510255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR APPLES ARMANI - 7H11703,27,0,0.447899838,0,0,0,0,0,0,0,0,0,0,0,0.033419528,0,0.06865706,0,0,0,0,0,0,0,0.027159212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,28,0,0,0,0,0,0.267871121,0,0,0,0,0,0,0,0,0.050987709,0,0,0,0,0,0,0.057451011,0.024231548,0,0,0,0,0,0,0,0,0,0,0.012317829,0,0,0.008884834,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,29,0.325221971,0,0,0.083499942,0,0,0.06875978,0,0,0,0.03907399,0,0.030593086,0.033318565,0,0,0,0.01433706,0,0,0,0,0.024231548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-S-I SHAMROCK MYSTIC - 7HO11395,30,0,0,0.202746365,0,0,0,0.067649111,0,0,0,0,0,0.030290171,0.033318565,0,0,0,0,0,0,0.011207341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,31,0.325221971,0,0,0.083499942,0,0,0.067548149,0,0,0,0.03907399,0,0.030290171,0,0,0,0,0.01433706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045032013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,32,0,0,0.202746365,0,0,0,0.067245234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011207341,0,0,0,0,0,0.019789751,0,0,0,0,0,0,0,0.01060146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
